==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0           decreasesfarnesylation     1.000000
1             decreasesprenylation     1.000000
2                 affectsstability     1.000000
3               decreasessulfation     1.000000
4    increasesolinkedglycosylation     1.000000
5               affectsmutagenesis     1.000000
6           affectsglucuronidation     1.000000
7         decreasesglucuronidation     0.999999
8       decreasesglutathionylation     0.999998
9              increasesalkylation     0.999997
10            decreasesacetylation     0.999995
11                 decreasesexport     0.999994
12          increasescarboxylation     0.999991
13          increasesglycosylation     0.999988
14              decreasesreduction     0.999988
15          decreasesgeranoylation     0.999986
16          decreasesglycosylation     0.999974
17               decreasessplicing     0.999966
18            increasesacetylation     0.999956
19             decreaseshydrolysis     0.999953
20            decreasesmutagenesis     0.999932
21         increasesubiquitination     0.999925
22              decreasestransport     0.999903
23           increaseslocalization     0.999896
24           affectspolymerization     0.999889
25         increasespalmitoylation     0.999863
26          decreasescarboxylation     0.999859
27      increasesglutathionylation     0.999841
28    increasesresponsetosubstance     0.999828
29            increasesprenylation     0.999810
30                affectsreduction     0.999762
31           decreaseslocalization     0.999759
32              decreasesstability     0.999759
33            affectsfarnesylation     0.999712
34              affectsdegradation     0.999686
35              increasesstability     0.999654
36      decreaseschemicalsynthesis     0.999654
37            affectsglycosylation     0.999624
38                   affectsimport     0.999593
39               affectshydrolysis     0.999509
40                 affectsactivity     0.999484
41          affectsphosphorylation     0.999459
42              decreasesglycation     0.999453
43                increasesfolding     0.999437
44        increasesphosphorylation     0.999395
45            increasesdegradation     0.999366
46          decreaseshydroxylation     0.999315
47            increasesnitrosation     0.999270
48    decreasesmetabolicprocessing     0.999257
49                  affectsfolding     0.999131
50                decreasesfolding     0.999076
51              affectsacetylation     0.999041
52        decreasesphosphorylation     0.999021
53          increasesfarnesylation     0.998867
54           increasesribosylation     0.998852
55               affectsalkylation     0.998814
56              increasesamination     0.998668
57   decreasesnlinkedglycosylation     0.998574
58                  affectsbinding     0.998540
59                 affectsreaction     0.998314
60               increasesactivity     0.998025
61         increasescarbamoylation     0.997908
62              decreasesabundance     0.997847
63         decreasesubiquitination     0.997435
64               increasessplicing     0.997428
65               decreasesactivity     0.997295
66             decreaseslipidation     0.997239
67                affectsoxidation     0.997199
68             increaseslipidation     0.996912
69               decreasesreaction     0.996685
70              decreasesamination     0.996684
71               affectslipidation     0.996606
72         decreasespalmitoylation     0.996544
73           affectsubiquitination     0.996495
74                 decreasesimport     0.996325
75        decreasesadpribosylation     0.996316
76             affectslocalization     0.996311
77             increasesexpression     0.995848
78            decreasesdegradation     0.995420
79    increasesmetabolicprocessing     0.994891
80            affectscarboxylation     0.994627
81                 decreasesuptake     0.994432
82                 affectscleavage     0.994025
83    decreasesresponsetosubstance     0.993181
84              affectscotreatment     0.991638
85              increasesoxidation     0.989894
86      affectsresponsetosubstance     0.989851
87              increasesabundance     0.989811
88            increasessumoylation     0.987890
89                affectsacylation     0.986558
90               decreasescleavage     0.985872
91            decreasesnitrosation     0.985800
92            increasesmutagenesis     0.984518
93              increasesglycation     0.980093
94             increaseshydrolysis     0.977799
95             decreasesexpression     0.977089
96                 increasesexport     0.974465
97        affectsglutathionylation     0.973659
98              increasesacylation     0.973059
99        increasesadpribosylation     0.970003
100              affectsexpression     0.966990
101             decreasesoxidation     0.965108
102           affectshydroxylation     0.961504
103                  affectsuptake     0.961488
104              increasescleavage     0.958252
105     increaseschemicalsynthesis     0.955109
106        decreasespolymerization     0.954134
107               affectssulfation     0.953216
108               affectsabundance     0.939057
109           decreasessumoylation     0.938096
110    affectsnlinkedglycosylation     0.916285
111              increasesreaction     0.909658
112               affectssecretion     0.902408
113            decreasesethylation     0.895635
114           decreasesmethylation     0.890366
115       affectschemicalsynthesis     0.885610
116             affectssumoylation     0.876295
117                increasesimport     0.863526
118             affectsmethylation     0.856409
119                affectssplicing     0.833842
120     affectsmetabolicprocessing     0.828968
121             increasesreduction     0.774604
122           increasesmethylation     0.736966
123               affectstransport     0.712859
124  increasesnlinkedglycosylation     0.692305
125             increasestransport     0.651155
126  decreasesolinkedglycosylation     0.609081
127                  affectsexport     0.592640
128        decreasesmyristoylation     0.561193
129               affectsglycation     0.495568
130        decreasescarbamoylation     0.471107
131             decreasesacylation     0.441362
132                increasesuptake     0.380791
133             increasessecretion     0.278433
134            decreasesalkylation     0.175683
135             decreasessecretion     0.087645
136             increasessulfation     0.062392
137         increaseshydroxylation     0.008179
138       increasesglucuronidation     0.000919
==================================================
