==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0               affectsmutagenesis     1.000000
1             decreasesprenylation     1.000000
2                 affectsstability     1.000000
3    increasesolinkedglycosylation     0.999997
4               decreasesreduction     0.999994
5              decreaseshydrolysis     0.999993
6             increasesprenylation     0.999993
7               decreasessulfation     0.999991
8               increasesacylation     0.999990
9           decreasesfarnesylation     0.999989
10          decreasesgeranoylation     0.999955
11         increasespalmitoylation     0.999942
12          decreasesglycosylation     0.999916
13            increasesmutagenesis     0.999912
14               decreasessplicing     0.999887
15           affectsubiquitination     0.999854
16            decreasesmutagenesis     0.999621
17            decreasesacetylation     0.999294
18         decreasespalmitoylation     0.999141
19              increasesstability     0.998933
20             decreaseslipidation     0.998667
21            decreasesdegradation     0.998220
22            affectscarboxylation     0.998127
23          affectsphosphorylation     0.998092
24         increasesubiquitination     0.997834
25        increasesphosphorylation     0.997829
26   decreasesnlinkedglycosylation     0.997797
27            affectsfarnesylation     0.997427
28          increasesfarnesylation     0.997325
29      decreasesglutathionylation     0.996516
30              affectsdegradation     0.996096
31                   affectsimport     0.996081
32           increasesribosylation     0.995680
33               affectslipidation     0.995352
34              decreasesamination     0.995318
35                increasesfolding     0.995231
36              increasesabundance     0.995167
37          increasesglycosylation     0.995034
38           increaseslocalization     0.994881
39             increasesalkylation     0.994129
40              affectsacetylation     0.993834
41                 affectsactivity     0.993640
42              decreasesstability     0.993320
43               decreasesactivity     0.993264
44          affectsglucuronidation     0.993071
45          increasescarboxylation     0.992927
46        decreasesphosphorylation     0.992681
47           decreaseslocalization     0.992381
48    increasesresponsetosubstance     0.991962
49            increasesdegradation     0.991071
50               increasesactivity     0.989464
51    decreasesresponsetosubstance     0.988867
52      increasesglutathionylation     0.987992
53                affectsacylation     0.987024
54              increasesamination     0.986326
55                  affectsbinding     0.985997
56                 affectscleavage     0.985526
57               increasescleavage     0.984495
58            affectsglycosylation     0.982538
59     affectsnlinkedglycosylation     0.982371
60             increasesexpression     0.982222
61      affectsresponsetosubstance     0.981113
62              decreasesoxidation     0.981051
63                 decreasesuptake     0.979691
64                 decreasesexport     0.978923
65            decreasesmethylation     0.976991
66            increasesacetylation     0.976733
67                 decreasesimport     0.975489
68        decreasesglucuronidation     0.975428
69              decreasesabundance     0.975178
70              affectscotreatment     0.975106
71             decreasesexpression     0.975052
72               affectsexpression     0.974679
73               decreasesreaction     0.972842
74        affectschemicalsynthesis     0.969686
75         decreasesubiquitination     0.968008
76            decreasessumoylation     0.967478
77               affectsalkylation     0.964161
78                affectsabundance     0.961549
79            increasesnitrosation     0.960517
80                 affectsreaction     0.948433
81             affectslocalization     0.947895
82               increasesreaction     0.946246
83                 affectssplicing     0.944929
84           affectspolymerization     0.937522
85    decreasesmetabolicprocessing     0.924416
86   increasesnlinkedglycosylation     0.922873
87          decreasescarboxylation     0.921546
88         increasescarbamoylation     0.909857
89                 increasesimport     0.899422
90        affectsglutathionylation     0.876677
91               decreasescleavage     0.869262
92              affectsmethylation     0.856050
93            decreasesnitrosation     0.852213
94              increasesglycation     0.849527
95        increasesadpribosylation     0.846076
96        decreasesadpribosylation     0.838290
97              affectssumoylation     0.830168
98             increaseslipidation     0.821816
99          decreaseshydroxylation     0.820123
100               decreasesfolding     0.800022
101             decreasesglycation     0.793683
102                  affectsexport     0.789174
103     increaseschemicalsynthesis     0.770522
104     decreaseschemicalsynthesis     0.750388
105              increasessplicing     0.741476
106           increasesmethylation     0.728197
107               affectsreduction     0.711677
108        decreasespolymerization     0.693489
109                 affectsfolding     0.682580
110              affectshydrolysis     0.669783
111             decreasestransport     0.668924
112  decreasesolinkedglycosylation     0.653721
113           increasessumoylation     0.647641
114        decreasesmyristoylation     0.524794
115             decreasessecretion     0.512892
116             decreasesacylation     0.494258
117        decreasescarbamoylation     0.479258
118             increasessecretion     0.438123
119   increasesmetabolicprocessing     0.402811
120               affectsglycation     0.355403
121               affectssecretion     0.349345
122               affectsoxidation     0.349269
123       increasesglucuronidation     0.308045
124                  affectsuptake     0.307725
125            increaseshydrolysis     0.283799
126            decreasesethylation     0.269250
127             increasestransport     0.241749
128                increasesexport     0.186451
129               affectssulfation     0.116554
130                increasesuptake     0.101636
131               affectstransport     0.093379
132             increasesreduction     0.060448
133             increasesoxidation     0.046715
134             increasessulfation     0.025442
135            decreasesalkylation     0.004941
136           affectshydroxylation     0.003325
137     affectsmetabolicprocessing     0.002527
138         increaseshydroxylation     0.001554
==================================================
