==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                 affectsstability     0.999997
1           decreasesfarnesylation     0.999993
2             decreasesprenylation     0.999987
3             decreasesmutagenesis     0.999955
4           affectsglucuronidation     0.999939
5                 increasesfolding     0.999924
6               affectsmutagenesis     0.999924
7                  affectscleavage     0.999848
8              decreaseshydrolysis     0.999816
9           decreasesglycosylation     0.999815
10          increasesfarnesylation     0.999811
11   increasesolinkedglycosylation     0.999802
12               decreasessplicing     0.999716
13      decreasesglutathionylation     0.999657
14        decreasesglucuronidation     0.999631
15         increasespalmitoylation     0.999597
16              decreasessulfation     0.999596
17              affectsdegradation     0.999559
18          increasescarboxylation     0.999490
19              decreasesamination     0.999457
20            affectsfarnesylation     0.999283
21          decreasesgeranoylation     0.999268
22           affectsubiquitination     0.999168
23            affectsglycosylation     0.998859
24            increasesprenylation     0.998811
25              increasesacylation     0.998758
26              increasesabundance     0.998738
27           decreaseslocalization     0.998549
28              increasesglycation     0.998293
29              decreasesoxidation     0.998292
30             increasesalkylation     0.997987
31          affectsphosphorylation     0.997885
32            increasesnitrosation     0.997755
33            decreasesacetylation     0.997704
34                   affectsimport     0.997695
35            decreasesdegradation     0.997405
36               affectslipidation     0.997252
37                 affectsactivity     0.997086
38                affectsoxidation     0.996902
39          decreasescarboxylation     0.996229
40              increasesstability     0.995414
41        increasesphosphorylation     0.995373
42        decreasesphosphorylation     0.995373
43             decreaseslipidation     0.995254
44          increasesglycosylation     0.995210
45      decreaseschemicalsynthesis     0.995147
46               increasesactivity     0.994334
47               increasessplicing     0.993850
48         increasesubiquitination     0.993840
49        affectschemicalsynthesis     0.993661
50   decreasesnlinkedglycosylation     0.992531
51               decreasesreaction     0.992260
52                 decreasesexport     0.991705
53           affectspolymerization     0.991691
54                decreasesfolding     0.991662
55              decreasesreduction     0.991026
56         increasescarbamoylation     0.990934
57              affectscotreatment     0.990266
58            increasesacetylation     0.989446
59              decreasesabundance     0.988956
60               decreasescleavage     0.988929
61             decreasesexpression     0.988477
62         decreasespalmitoylation     0.987177
63      increasesglutathionylation     0.986795
64           increasesribosylation     0.986653
65                 decreasesuptake     0.986494
66              increasesamination     0.986335
67               affectshydrolysis     0.984077
68    decreasesmetabolicprocessing     0.984067
69              decreasesglycation     0.982261
70            increasesdegradation     0.981728
71               increasesreaction     0.978288
72                affectsacylation     0.976767
73            affectscarboxylation     0.976465
74               decreasesactivity     0.975451
75    increasesresponsetosubstance     0.974216
76                 decreasesimport     0.971499
77                affectsabundance     0.970361
78            decreasesnitrosation     0.970305
79                 affectsreaction     0.970003
80            increasesmutagenesis     0.969763
81        decreasesadpribosylation     0.967920
82              decreasesstability     0.966583
83     affectsnlinkedglycosylation     0.966230
84            decreasesmethylation     0.964691
85                  affectsbinding     0.964539
86             affectslocalization     0.962088
87               affectsalkylation     0.956784
88                 increasesimport     0.949779
89           increaseslocalization     0.942883
90             increaseslipidation     0.942837
91               increasescleavage     0.941856
92              affectssumoylation     0.939705
93      affectsresponsetosubstance     0.938601
94               affectsexpression     0.932504
95             increasesexpression     0.921958
96    decreasesresponsetosubstance     0.919098
97                 affectssplicing     0.913896
98              affectsmethylation     0.902201
99         decreasesubiquitination     0.895834
100             affectsacetylation     0.891152
101     increaseschemicalsynthesis     0.886496
102   increasesmetabolicprocessing     0.879787
103       affectsglutathionylation     0.875837
104                  affectsexport     0.852327
105        decreasespolymerization     0.845277
106           increasesmethylation     0.776524
107               affectssecretion     0.747872
108            decreasesethylation     0.727970
109  decreasesolinkedglycosylation     0.705974
110     affectsmetabolicprocessing     0.697982
111                increasesexport     0.694041
112           affectshydroxylation     0.684941
113             increasesoxidation     0.647119
114             decreasestransport     0.626398
115               affectsreduction     0.608561
116             increasesreduction     0.605907
117        decreasesmyristoylation     0.587432
118             decreasessecretion     0.582686
119            increaseshydrolysis     0.538386
120  increasesnlinkedglycosylation     0.516610
121        decreasescarbamoylation     0.460717
122           increasessumoylation     0.455711
123           decreasessumoylation     0.453015
124               affectstransport     0.448398
125               affectssulfation     0.439849
126             decreasesacylation     0.413321
127                  affectsuptake     0.397175
128               affectsglycation     0.365444
129         decreaseshydroxylation     0.336678
130       increasesadpribosylation     0.258702
131             increasestransport     0.237967
132             increasessulfation     0.165645
133             increasessecretion     0.159541
134                 affectsfolding     0.049725
135         increaseshydroxylation     0.029388
136                increasesuptake     0.020496
137       increasesglucuronidation     0.010380
138            decreasesalkylation     0.000268
==================================================
