==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                 affectsstability     1.000000
1              decreaseshydrolysis     1.000000
2           decreasesfarnesylation     1.000000
3                 increasesfolding     1.000000
4           decreasesgeranoylation     1.000000
5               decreasesamination     1.000000
6            affectspolymerization     0.999999
7             decreasesprenylation     0.999999
8           increasescarboxylation     0.999998
9         decreasesglucuronidation     0.999997
10              decreasessulfation     0.999997
11               decreasessplicing     0.999995
12   increasesolinkedglycosylation     0.999992
13                 decreasesexport     0.999981
14             increasesalkylation     0.999974
15          decreaseshydroxylation     0.999961
16              affectsdegradation     0.999954
17            decreasesmutagenesis     0.999954
18              affectsmutagenesis     0.999948
19                   affectsimport     0.999927
20      decreasesglutathionylation     0.999917
21               affectslipidation     0.999877
22           affectsubiquitination     0.999876
23            affectscarboxylation     0.999866
24           increaseslocalization     0.999863
25         increasespalmitoylation     0.999861
26            affectsglycosylation     0.999841
27          affectsglucuronidation     0.999826
28              increasesstability     0.999804
29   decreasesnlinkedglycosylation     0.999798
30            increasesprenylation     0.999732
31    increasesresponsetosubstance     0.999723
32            increasesacetylation     0.999700
33              decreasestransport     0.999689
34         increasesubiquitination     0.999666
35              increasesacylation     0.999632
36           decreaseslocalization     0.999591
37                 affectsactivity     0.999523
38               increasesactivity     0.999518
39              increasesglycation     0.999471
40           increasesribosylation     0.999324
41                 affectsreaction     0.999253
42                  affectsbinding     0.999229
43                  affectsfolding     0.999196
44            increasesnitrosation     0.999159
45            decreasesnitrosation     0.998784
46               decreasesactivity     0.998651
47                 affectscleavage     0.998603
48                 decreasesimport     0.998585
49             affectslocalization     0.998532
50         decreasesubiquitination     0.998459
51              decreasesglycation     0.998411
52      increasesglutathionylation     0.998375
53                affectsabundance     0.998358
54              decreasesabundance     0.998197
55            decreasesdegradation     0.998169
56               affectsalkylation     0.998150
57               decreasescleavage     0.998138
58    decreasesresponsetosubstance     0.998019
59        decreasesphosphorylation     0.997790
60               affectshydrolysis     0.997563
61         increasescarbamoylation     0.997475
62         decreasespalmitoylation     0.997411
63               decreasesreaction     0.997315
64              increasesamination     0.996994
65               increasesreaction     0.996910
66                affectssecretion     0.996749
67              increasessecretion     0.996718
68                 decreasesuptake     0.996396
69            increasesdegradation     0.995778
70    decreasesmetabolicprocessing     0.994780
71          decreasescarboxylation     0.994748
72              affectscotreatment     0.994136
73          increasesglycosylation     0.993770
74          increasesfarnesylation     0.993145
75               increasessplicing     0.992424
76     affectsnlinkedglycosylation     0.992312
77              decreasesreduction     0.992143
78                decreasesfolding     0.991651
79             increaseslipidation     0.991206
80          decreasesglycosylation     0.990986
81              decreasesstability     0.990813
82          affectsphosphorylation     0.990618
83        affectschemicalsynthesis     0.990363
84            decreasesacetylation     0.989228
85             decreaseslipidation     0.989077
86                 increasesimport     0.985717
87              affectsacetylation     0.984761
88            decreasesmethylation     0.984226
89        affectsglutathionylation     0.984213
90            affectsfarnesylation     0.982907
91      affectsresponsetosubstance     0.980638
92        increasesphosphorylation     0.979862
93                affectsacylation     0.977742
94                affectsoxidation     0.976843
95      decreaseschemicalsynthesis     0.975619
96            affectshydroxylation     0.975295
97         decreasespolymerization     0.971801
98             increasesexpression     0.971577
99                   affectsexport     0.960026
100           increasesmutagenesis     0.957990
101             increasesoxidation     0.957860
102              affectsexpression     0.954442
103       decreasesadpribosylation     0.953309
104  increasesnlinkedglycosylation     0.938417
105             increasesabundance     0.932068
106            decreasesexpression     0.910642
107             increasestransport     0.909795
108              increasescleavage     0.890223
109             decreasesoxidation     0.872667
110                affectssplicing     0.872270
111                  affectsuptake     0.870672
112             decreasessecretion     0.856928
113                increasesexport     0.847642
114             affectsmethylation     0.795892
115             affectssumoylation     0.787102
116           increasesmethylation     0.753464
117     increaseschemicalsynthesis     0.750732
118            increaseshydrolysis     0.725192
119  decreasesolinkedglycosylation     0.676649
120        decreasesmyristoylation     0.566832
121               affectsreduction     0.556799
122               affectssulfation     0.536763
123               affectstransport     0.504369
124                increasesuptake     0.378734
125             decreasesacylation     0.353853
126               affectsglycation     0.340009
127        decreasescarbamoylation     0.304825
128           decreasessumoylation     0.207764
129   increasesmetabolicprocessing     0.172175
130       increasesadpribosylation     0.132331
131           increasessumoylation     0.036917
132             increasesreduction     0.018468
133            decreasesethylation     0.012904
134     affectsmetabolicprocessing     0.002562
135         increaseshydroxylation     0.002394
136            decreasesalkylation     0.002366
137             increasessulfation     0.000296
138       increasesglucuronidation     0.000292
==================================================
