==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0               decreasestransport     1.000000
1               decreasesamination     1.000000
2                 increasesfolding     1.000000
3                  decreasesexport     0.999999
4       decreasesglutathionylation     0.999999
5          increasescarbamoylation     0.999999
6               affectsmutagenesis     0.999999
7             decreasesmutagenesis     0.999999
8                 affectsreduction     0.999998
9            affectspolymerization     0.999998
10          decreasesfarnesylation     0.999998
11            decreasesnitrosation     0.999997
12          decreaseshydroxylation     0.999997
13            increasesnitrosation     0.999997
14                affectsstability     0.999997
15        decreasesglucuronidation     0.999993
16            affectscarboxylation     0.999992
17          increasescarboxylation     0.999992
18             decreaseshydrolysis     0.999990
19            affectsglycosylation     0.999988
20               affectslipidation     0.999985
21                 decreasesimport     0.999983
22          increasesglycosylation     0.999979
23            decreasesacetylation     0.999977
24   decreasesnlinkedglycosylation     0.999977
25          decreasescarboxylation     0.999975
26          increasesfarnesylation     0.999973
27                affectsoxidation     0.999963
28                   affectsimport     0.999962
29              affectsdegradation     0.999950
30                decreasesfolding     0.999948
31          decreasesglycosylation     0.999947
32              increasesstability     0.999946
33             increasesalkylation     0.999926
34              increasesglycation     0.999920
35        affectschemicalsynthesis     0.999909
36              increasesabundance     0.999892
37                 decreasesuptake     0.999871
38              decreasessulfation     0.999841
39            decreasesdegradation     0.999834
40              increasesacylation     0.999813
41              increasesamination     0.999807
42                  affectsfolding     0.999756
43          increaseshydroxylation     0.999711
44            increasesprenylation     0.999669
45             increasesexpression     0.999668
46               increasessplicing     0.999663
47                 affectsreaction     0.999658
48              increasessecretion     0.999651
49              decreasesoxidation     0.999619
50             decreasesexpression     0.999559
51             decreasesethylation     0.999554
52      decreaseschemicalsynthesis     0.999550
53                affectssulfation     0.999539
54           affectsubiquitination     0.999501
55              decreasesglycation     0.999456
56         increasesubiquitination     0.999449
57         increasespalmitoylation     0.999394
58              decreasesstability     0.999368
59            decreasesprenylation     0.999247
60                 affectscleavage     0.999081
61   increasesolinkedglycosylation     0.999069
62                affectssecretion     0.999055
63              decreasessecretion     0.999012
64    decreasesresponsetosubstance     0.998945
65               affectshydrolysis     0.998895
66                 increasesimport     0.998529
67              increasesoxidation     0.998434
68              decreasesreduction     0.998413
69               affectsalkylation     0.998341
70      increasesglutathionylation     0.998316
71          affectsglucuronidation     0.998313
72               decreasesreaction     0.998280
73      affectsmetabolicprocessing     0.997952
74              affectscotreatment     0.997844
75     affectsnlinkedglycosylation     0.997774
76    decreasesmetabolicprocessing     0.997613
77           increasesribosylation     0.997066
78            increasessumoylation     0.996051
79             affectslocalization     0.995977
80               decreasessplicing     0.995939
81    increasesmetabolicprocessing     0.995784
82            increasesacetylation     0.995479
83      affectsresponsetosubstance     0.994835
84             decreaseslipidation     0.994065
85         decreasesubiquitination     0.994035
86               decreasesactivity     0.994002
87           decreaseslocalization     0.993763
88         decreasespolymerization     0.993712
89            affectsfarnesylation     0.993130
90              decreasesabundance     0.992156
91          decreasesgeranoylation     0.992118
92             decreasesalkylation     0.992083
93                 affectsactivity     0.991939
94               increasesactivity     0.991326
95        affectsglutathionylation     0.991270
96                   affectsexport     0.990899
97                   affectsuptake     0.990361
98                 increasesexport     0.988922
99    increasesresponsetosubstance     0.988308
100           affectshydroxylation     0.988300
101           increasesdegradation     0.987599
102                 affectsbinding     0.983151
103               affectsacylation     0.982445
104              increasescleavage     0.978708
105       decreasesadpribosylation     0.974489
106               affectsabundance     0.971929
107           decreasesmethylation     0.969978
108            increaseslipidation     0.965833
109     increaseschemicalsynthesis     0.961053
110             affectsacetylation     0.950358
111         affectsphosphorylation     0.944211
112             increasesreduction     0.938616
113              affectsexpression     0.937834
114           increasesmethylation     0.933823
115              increasesreaction     0.933669
116            increaseshydrolysis     0.930238
117  increasesnlinkedglycosylation     0.912417
118           increasesmutagenesis     0.906480
119             affectsmethylation     0.874812
120          increaseslocalization     0.869822
121       increasesadpribosylation     0.869384
122        decreasespalmitoylation     0.824620
123               affectstransport     0.787349
124       decreasesphosphorylation     0.758366
125  decreasesolinkedglycosylation     0.717674
126                increasesuptake     0.715689
127        decreasesmyristoylation     0.590253
128             decreasesacylation     0.568736
129               affectsglycation     0.560351
130             affectssumoylation     0.503590
131              decreasescleavage     0.471528
132       increasesphosphorylation     0.455536
133        decreasescarbamoylation     0.409974
134             increasestransport     0.345356
135           decreasessumoylation     0.242976
136                affectssplicing     0.175668
137             increasessulfation     0.004949
138       increasesglucuronidation     0.000061
==================================================
