==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0           decreasesfarnesylation     1.000000
1                 affectsstability     1.000000
2       decreasesglutathionylation     1.000000
3               affectsmutagenesis     1.000000
4               decreasessulfation     1.000000
5             decreasesmutagenesis     1.000000
6               decreasesreduction     1.000000
7                 increasesfolding     1.000000
8           affectsglucuronidation     0.999999
9                  decreasesexport     0.999998
10            affectsglycosylation     0.999998
11            decreasesnitrosation     0.999997
12             decreaseshydrolysis     0.999997
13               decreasessplicing     0.999996
14          decreasesgeranoylation     0.999994
15          increasesglycosylation     0.999991
16        increasesphosphorylation     0.999990
17            decreasesprenylation     0.999987
18              decreasesabundance     0.999984
19              affectsdegradation     0.999984
20   increasesolinkedglycosylation     0.999983
21          affectsphosphorylation     0.999979
22          increasesfarnesylation     0.999978
23              increasesamination     0.999977
24          decreasesglycosylation     0.999966
25           increaseslocalization     0.999960
26                decreasesfolding     0.999958
27                   affectsimport     0.999952
28           affectsubiquitination     0.999947
29              increasesstability     0.999941
30          increasescarboxylation     0.999920
31                 affectscleavage     0.999903
32              decreasestransport     0.999890
33            affectscarboxylation     0.999880
34               affectslipidation     0.999869
35              decreasesstability     0.999867
36                  affectsbinding     0.999848
37         increasesubiquitination     0.999837
38                 affectsactivity     0.999815
39                affectsoxidation     0.999692
40         increasescarbamoylation     0.999660
41        decreasesphosphorylation     0.999624
42            decreasesdegradation     0.999580
43              decreasesamination     0.999568
44                 affectsreaction     0.999546
45              decreasesoxidation     0.999439
46      increasesglutathionylation     0.999431
47           increasesribosylation     0.999398
48           decreaseslocalization     0.999326
49              increasessecretion     0.999289
50             decreaseslipidation     0.999272
51           affectspolymerization     0.999264
52         increasespalmitoylation     0.999238
53              increasesabundance     0.999181
54            decreasesacetylation     0.999094
55            increasesdegradation     0.998961
56               increasesactivity     0.998933
57               increasessplicing     0.998829
58                 decreasesimport     0.998821
59        decreasesglucuronidation     0.998727
60               decreasescleavage     0.998706
61             increasesalkylation     0.998662
62        affectschemicalsynthesis     0.998568
63               affectsalkylation     0.998461
64   decreasesnlinkedglycosylation     0.997922
65          decreaseshydroxylation     0.997827
66          decreasescarboxylation     0.997624
67        decreasesadpribosylation     0.997014
68    decreasesresponsetosubstance     0.995899
69               increasesreaction     0.995640
70              affectsacetylation     0.995555
71    increasesresponsetosubstance     0.995379
72            affectsfarnesylation     0.995308
73             decreasesexpression     0.995187
74              decreasesglycation     0.994967
75             increasesexpression     0.994960
76            increasesnitrosation     0.994730
77      decreaseschemicalsynthesis     0.994727
78            increasesprenylation     0.994463
79         decreasesubiquitination     0.994141
80      affectsresponsetosubstance     0.993649
81              increasesacylation     0.993451
82            decreasessumoylation     0.992993
83               decreasesactivity     0.992627
84               decreasesreaction     0.992453
85               increasescleavage     0.992387
86             affectslocalization     0.991922
87     affectsnlinkedglycosylation     0.991771
88               affectshydrolysis     0.989143
89                   affectsexport     0.988302
90        affectsglutathionylation     0.986994
91                affectsacylation     0.985442
92                affectsabundance     0.982510
93                 increasesexport     0.982407
94              affectscotreatment     0.978125
95    decreasesmetabolicprocessing     0.976552
96         decreasespalmitoylation     0.973497
97             increaseslipidation     0.969780
98                 decreasesuptake     0.962274
99              decreasessecretion     0.961434
100           increasesmutagenesis     0.960871
101               affectssulfation     0.959045
102           affectshydroxylation     0.958032
103               affectstransport     0.956574
104           decreasesmethylation     0.952756
105                 affectsfolding     0.948469
106           increasessumoylation     0.945305
107             affectsmethylation     0.945166
108             increasesglycation     0.937386
109           increasesacetylation     0.936895
110             increasesoxidation     0.926448
111       increasesadpribosylation     0.924778
112              affectsexpression     0.920682
113           increasesmethylation     0.902622
114  increasesnlinkedglycosylation     0.886213
115            increaseshydrolysis     0.862354
116                increasesimport     0.861487
117                affectssplicing     0.849047
118             affectssumoylation     0.831425
119     increaseschemicalsynthesis     0.786627
120        decreasespolymerization     0.722981
121  decreasesolinkedglycosylation     0.721863
122                  affectsuptake     0.712012
123             decreasesacylation     0.585120
124            decreasesethylation     0.559166
125             increasesreduction     0.516054
126               affectsreduction     0.512203
127        decreasesmyristoylation     0.505088
128                increasesuptake     0.501064
129               affectsglycation     0.500338
130        decreasescarbamoylation     0.494929
131     affectsmetabolicprocessing     0.445714
132               affectssecretion     0.362002
133   increasesmetabolicprocessing     0.353981
134             increasestransport     0.187554
135       increasesglucuronidation     0.016881
136            decreasesalkylation     0.014854
137         increaseshydroxylation     0.008272
138             increasessulfation     0.000161
==================================================
