==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                 affectsreduction     1.000000
1               decreasesamination     1.000000
2               affectsmutagenesis     1.000000
3           decreasescarboxylation     1.000000
4              decreaseshydrolysis     0.999998
5               decreasessulfation     0.999997
6                 affectsstability     0.999994
7                 affectsoxidation     0.999989
8       decreasesglutathionylation     0.999985
9         affectschemicalsynthesis     0.999979
10             increasesalkylation     0.999975
11           affectspolymerization     0.999973
12          decreasesglycosylation     0.999966
13        decreasesglucuronidation     0.999958
14              decreasesreduction     0.999927
15              increasesacylation     0.999913
16              increasesamination     0.999903
17            affectsglycosylation     0.999896
18          increaseshydroxylation     0.999894
19              affectsdegradation     0.999882
20               affectshydrolysis     0.999856
21                increasesfolding     0.999835
22              decreasesglycation     0.999820
23            decreasesmutagenesis     0.999805
24                 decreasesimport     0.999804
25            decreasesnitrosation     0.999801
26    decreasesmetabolicprocessing     0.999755
27          decreasesfarnesylation     0.999745
28            affectshydroxylation     0.999727
29             decreasesethylation     0.999721
30   decreasesnlinkedglycosylation     0.999689
31                   affectsimport     0.999658
32         increasescarbamoylation     0.999613
33               affectslipidation     0.999551
34              decreasesoxidation     0.999532
35      increasesglutathionylation     0.999515
36              increasesoxidation     0.999484
37      affectsmetabolicprocessing     0.999474
38              increasesglycation     0.999426
39          increasescarboxylation     0.999415
40            decreasesacetylation     0.999077
41              decreasestransport     0.999070
42                affectssulfation     0.999035
43      decreaseschemicalsynthesis     0.998899
44          increasesglycosylation     0.998752
45            increasesnitrosation     0.998742
46          increasesfarnesylation     0.998478
47    increasesmetabolicprocessing     0.998462
48            increasesacetylation     0.998415
49         decreasespolymerization     0.998411
50          affectsglucuronidation     0.998178
51      increaseschemicalsynthesis     0.998082
52              decreasesabundance     0.998015
53            increasesprenylation     0.997566
54          decreaseshydroxylation     0.997102
55                 decreasesexport     0.997002
56                  affectsfolding     0.996590
57         increasespalmitoylation     0.995346
58             decreasesexpression     0.995278
59            affectscarboxylation     0.994630
60                affectsabundance     0.994226
61                affectssecretion     0.994187
62         increasesubiquitination     0.992571
63              decreasesstability     0.992187
64            increasesdegradation     0.991479
65          decreasesgeranoylation     0.990700
66              affectscotreatment     0.989519
67               decreasesreaction     0.988919
68            affectsfarnesylation     0.988837
69      affectsresponsetosubstance     0.988783
70               decreasesactivity     0.988648
71              affectsacetylation     0.988037
72             increaseshydrolysis     0.985972
73     affectsnlinkedglycosylation     0.985839
74              increasessulfation     0.984047
75                 affectsreaction     0.983770
76             increasesexpression     0.983675
77              increasesstability     0.981935
78              increasesabundance     0.980976
79               affectsalkylation     0.980160
80             decreasesalkylation     0.979608
81        affectsglutathionylation     0.979345
82              increasesreduction     0.978614
83               decreasessplicing     0.977560
84            decreasesmethylation     0.975208
85            increasesmutagenesis     0.974583
86                 decreasesuptake     0.968751
87            decreasesprenylation     0.967623
88                   affectsuptake     0.965165
89               affectsexpression     0.965065
90                 affectsactivity     0.963585
91           increasesribosylation     0.959411
92   increasesolinkedglycosylation     0.957853
93              increasessecretion     0.951589
94               increasessplicing     0.946158
95                  affectsbinding     0.945493
96           affectsubiquitination     0.942554
97    decreasesresponsetosubstance     0.940942
98                 affectscleavage     0.940101
99             decreaseslipidation     0.940042
100                increasesimport     0.935114
101           increasessumoylation     0.923652
102   increasesresponsetosubstance     0.921115
103       decreasesadpribosylation     0.920434
104              increasesreaction     0.918812
105              increasesactivity     0.902975
106           increasesmethylation     0.888883
107        decreasesubiquitination     0.886742
108             decreasessecretion     0.884946
109               affectsacylation     0.860702
110                affectssplicing     0.841230
111           decreasessumoylation     0.803739
112          decreaseslocalization     0.783084
113            affectslocalization     0.743016
114               decreasesfolding     0.726400
115             affectssumoylation     0.691865
116             affectsmethylation     0.681145
117                  affectsexport     0.641307
118             decreasesacylation     0.639051
119        decreasespalmitoylation     0.616833
120  increasesnlinkedglycosylation     0.612275
121  decreasesolinkedglycosylation     0.600574
122           decreasesdegradation     0.573159
123            increaseslipidation     0.561453
124        decreasesmyristoylation     0.481432
125                increasesuptake     0.478485
126               affectsglycation     0.472989
127                increasesexport     0.437969
128        decreasescarbamoylation     0.380278
129              increasescleavage     0.374971
130               affectstransport     0.372927
131       increasesphosphorylation     0.359708
132       increasesglucuronidation     0.335853
133       decreasesphosphorylation     0.307604
134       increasesadpribosylation     0.262927
135          increaseslocalization     0.183002
136         affectsphosphorylation     0.060715
137              decreasescleavage     0.009004
138             increasestransport     0.007402
==================================================
