==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0               decreasessulfation     1.000000
1               affectsmutagenesis     1.000000
2                 increasesfolding     1.000000
3                 affectsstability     1.000000
4            affectspolymerization     1.000000
5           increasescarboxylation     1.000000
6           decreasesfarnesylation     1.000000
7         decreasesglucuronidation     0.999999
8           affectsglucuronidation     0.999999
9                 decreasesfolding     0.999999
10            decreasesprenylation     0.999996
11            affectsglycosylation     0.999995
12          decreasesglycosylation     0.999994
13          decreasescarboxylation     0.999992
14             decreaseshydrolysis     0.999989
15                 affectscleavage     0.999987
16               decreasescleavage     0.999985
17   increasesolinkedglycosylation     0.999980
18      decreasesglutathionylation     0.999962
19              increasesstability     0.999954
20            decreasesdegradation     0.999944
21            increasesdegradation     0.999936
22              decreasestransport     0.999935
23          decreasesgeranoylation     0.999933
24              affectsdegradation     0.999927
25                 decreasesimport     0.999913
26            increasesprenylation     0.999865
27            decreasesacetylation     0.999850
28            decreasesnitrosation     0.999849
29         increasesubiquitination     0.999834
30              increasesglycation     0.999757
31         increasespalmitoylation     0.999638
32            increasesnitrosation     0.999617
33          increasesglycosylation     0.999503
34          increasesfarnesylation     0.999494
35                 affectsactivity     0.999472
36                  affectsfolding     0.999456
37              decreasesabundance     0.999436
38          affectsphosphorylation     0.999387
39            decreasesmutagenesis     0.999365
40        decreasesphosphorylation     0.999233
41             increasesalkylation     0.999147
42        increasesphosphorylation     0.998632
43                 decreasesexport     0.998612
44               increasescleavage     0.998547
45      affectsresponsetosubstance     0.998396
46             decreaseslipidation     0.998383
47           increaseslocalization     0.998378
48           decreaseslocalization     0.998084
49                   affectsimport     0.997955
50               affectslipidation     0.997790
51               increasesreaction     0.997773
52            affectscarboxylation     0.997643
53              decreasesamination     0.997251
54               affectshydrolysis     0.997235
55   decreasesnlinkedglycosylation     0.996864
56           affectsubiquitination     0.996726
57              increasessecretion     0.996609
58      increasesglutathionylation     0.996175
59        decreasesadpribosylation     0.996152
60              decreasesreduction     0.996011
61               decreasesreaction     0.995851
62               decreasessplicing     0.995665
63           increasesribosylation     0.995437
64              affectscotreatment     0.995155
65            increasesmutagenesis     0.994495
66         decreasespolymerization     0.994429
67             decreasesexpression     0.993810
68              decreasesstability     0.993757
69              increasesabundance     0.993495
70             affectslocalization     0.993369
71               affectsexpression     0.993160
72                 affectsreaction     0.993158
73                  affectsbinding     0.992683
74                affectsabundance     0.992285
75                 decreasesuptake     0.992257
76        affectschemicalsynthesis     0.992200
77               affectsalkylation     0.991696
78    decreasesmetabolicprocessing     0.990657
79    decreasesresponsetosubstance     0.990081
80         increasescarbamoylation     0.990064
81              decreasessecretion     0.989583
82             increasesexpression     0.988118
83            affectsfarnesylation     0.987301
84              increasesacylation     0.987248
85                affectssecretion     0.986759
86    increasesresponsetosubstance     0.985590
87               decreasesactivity     0.985008
88              decreasesglycation     0.984370
89              increasesamination     0.984300
90              affectsacetylation     0.981896
91            increasesacetylation     0.980751
92                 increasesimport     0.978419
93        affectsglutathionylation     0.974086
94                affectsreduction     0.972730
95              decreasesoxidation     0.972509
96                 affectssplicing     0.970599
97             increaseslipidation     0.962439
98         decreasesubiquitination     0.960781
99          decreaseshydroxylation     0.957958
100    affectsnlinkedglycosylation     0.954736
101           decreasesmethylation     0.954146
102               affectsacylation     0.942037
103           affectshydroxylation     0.939873
104             affectsmethylation     0.939553
105  increasesnlinkedglycosylation     0.932636
106                  affectsuptake     0.927529
107              increasessplicing     0.923039
108                increasesexport     0.919547
109              increasesactivity     0.919088
110     decreaseschemicalsynthesis     0.916472
111            increaseshydrolysis     0.910046
112               affectsoxidation     0.907275
113             increasesoxidation     0.904419
114           increasesmethylation     0.893398
115                  affectsexport     0.877832
116             affectssumoylation     0.859802
117        decreasespalmitoylation     0.835272
118     affectsmetabolicprocessing     0.774767
119  decreasesolinkedglycosylation     0.760124
120       increasesadpribosylation     0.708399
121               affectstransport     0.639461
122           decreasessumoylation     0.636156
123             increasestransport     0.630107
124     increaseschemicalsynthesis     0.610787
125   increasesmetabolicprocessing     0.595434
126                increasesuptake     0.593149
127        decreasesmyristoylation     0.571582
128             decreasesacylation     0.538718
129            decreasesethylation     0.472939
130             increasesreduction     0.467280
131        decreasescarbamoylation     0.374904
132               affectsglycation     0.365893
133               affectssulfation     0.059507
134       increasesglucuronidation     0.018699
135         increaseshydroxylation     0.015679
136           increasessumoylation     0.006687
137             increasessulfation     0.002506
138            decreasesalkylation     0.000037
==================================================
