==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0           decreasesfarnesylation     1.000000
1               decreasessulfation     0.999999
2    increasesolinkedglycosylation     0.999997
3         decreasesglucuronidation     0.999989
4             decreasesprenylation     0.999989
5               affectsmutagenesis     0.999988
6           increasesglycosylation     0.999986
7              decreaseshydrolysis     0.999986
8                 increasesfolding     0.999984
9           increasescarboxylation     0.999979
10          decreasescarboxylation     0.999978
11           affectspolymerization     0.999973
12      decreasesglutathionylation     0.999970
13            decreasesnitrosation     0.999969
14              increasesamination     0.999962
15            decreasesmutagenesis     0.999954
16          decreasesgeranoylation     0.999944
17              decreasesoxidation     0.999895
18          affectsglucuronidation     0.999889
19              decreasesamination     0.999879
20          affectsphosphorylation     0.999822
21   decreasesnlinkedglycosylation     0.999801
22              increasesstability     0.999761
23            increasesnitrosation     0.999736
24               decreasessplicing     0.999723
25                affectsstability     0.999717
26                affectsreduction     0.999708
27        increasesphosphorylation     0.999648
28            increasesprenylation     0.999594
29            increasesmutagenesis     0.999575
30              decreasesreduction     0.999542
31           affectsubiquitination     0.999416
32              affectsdegradation     0.999174
33             increasesalkylation     0.999044
34          increasesfarnesylation     0.999005
35        decreasesphosphorylation     0.998517
36              increasesabundance     0.998485
37      decreaseschemicalsynthesis     0.998292
38                 affectsreaction     0.998182
39    decreasesmetabolicprocessing     0.997758
40      increasesglutathionylation     0.997664
41            affectsglycosylation     0.997609
42                 affectscleavage     0.997228
43                 affectsactivity     0.996542
44              decreasesstability     0.996480
45               affectslipidation     0.996213
46      increaseschemicalsynthesis     0.995015
47                affectsacylation     0.994757
48             increasesexpression     0.994475
49        decreasesadpribosylation     0.994396
50         decreasesubiquitination     0.994341
51         increasesubiquitination     0.994295
52            increasesdegradation     0.994192
53            affectsfarnesylation     0.994115
54                   affectsimport     0.994004
55             decreasesexpression     0.993928
56            affectscarboxylation     0.993852
57               decreasesactivity     0.993355
58               affectsalkylation     0.993184
59          decreasesglycosylation     0.993040
60                affectsoxidation     0.992304
61              increasesglycation     0.991893
62            decreasessumoylation     0.991711
63               increasesactivity     0.991134
64                  affectsbinding     0.990433
65    decreasesresponsetosubstance     0.989764
66                 decreasesexport     0.989661
67                decreasesfolding     0.989270
68               affectshydrolysis     0.988224
69            decreasesacetylation     0.988080
70              affectscotreatment     0.987773
71         increasespalmitoylation     0.986845
72              increasesacylation     0.986336
73              increasesoxidation     0.985424
74         decreasespalmitoylation     0.985408
75      affectsresponsetosubstance     0.983465
76               affectsexpression     0.980809
77                affectsabundance     0.979413
78                 affectssplicing     0.979158
79                   affectsexport     0.978281
80                  affectsfolding     0.976199
81              decreasestransport     0.974002
82              affectsmethylation     0.971081
83        affectsglutathionylation     0.970575
84         increasescarbamoylation     0.965029
85         decreasespolymerization     0.962460
86              decreasesabundance     0.962325
87                 decreasesimport     0.961327
88            affectshydroxylation     0.959354
89    increasesmetabolicprocessing     0.958491
90               increasesreaction     0.952558
91              affectssumoylation     0.947038
92               decreasesreaction     0.945810
93            decreasesdegradation     0.939994
94              increasessecretion     0.935140
95        increasesadpribosylation     0.926938
96                 decreasesuptake     0.918669
97             increaseslipidation     0.917858
98              affectsacetylation     0.917150
99     affectsnlinkedglycosylation     0.915964
100         decreaseshydroxylation     0.913320
101       affectschemicalsynthesis     0.904179
102           increasesmethylation     0.881641
103             decreasesglycation     0.879700
104            decreaseslipidation     0.868344
105                  affectsuptake     0.867693
106           decreasesmethylation     0.867186
107               affectssulfation     0.862964
108     affectsmetabolicprocessing     0.859474
109           increasesacetylation     0.849587
110  increasesnlinkedglycosylation     0.839101
111            increaseshydrolysis     0.819591
112          increasesribosylation     0.796967
113          increaseslocalization     0.769811
114          decreaseslocalization     0.764907
115             decreasessecretion     0.757078
116   increasesresponsetosubstance     0.757028
117              decreasescleavage     0.728501
118              increasessplicing     0.711885
119  decreasesolinkedglycosylation     0.690301
120        decreasesmyristoylation     0.624414
121             decreasesacylation     0.613483
122               affectssecretion     0.583626
123            decreasesethylation     0.562888
124             increasesreduction     0.560283
125             increasestransport     0.517622
126        decreasescarbamoylation     0.484410
127              increasescleavage     0.470990
128               affectsglycation     0.463006
129                increasesexport     0.459603
130                increasesuptake     0.451466
131         increaseshydroxylation     0.395861
132            affectslocalization     0.310731
133           increasessumoylation     0.297316
134               affectstransport     0.154303
135                increasesimport     0.099128
136             increasessulfation     0.001421
137       increasesglucuronidation     0.000157
138            decreasesalkylation     0.000106
==================================================
