==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0          increasesubiquitination  9.991221e-01
1           increasesfarnesylation  9.972479e-01
2           decreasesfarnesylation  9.970393e-01
3           decreasesgeranoylation  9.963652e-01
4             increasesprenylation  9.955813e-01
5          increasespalmitoylation  9.877709e-01
6            affectsubiquitination  9.817445e-01
7         decreasesadpribosylation  9.773338e-01
8             affectsfarnesylation  9.767951e-01
9            increaseslocalization  9.759154e-01
10            increasesnitrosation  9.755723e-01
11            decreasesdegradation  9.751423e-01
12          increasescarboxylation  9.717873e-01
13         decreasesubiquitination  9.668286e-01
14   increasesolinkedglycosylation  9.588700e-01
15               increasesreaction  9.576405e-01
16              affectsmethylation  9.523451e-01
17   decreasesnlinkedglycosylation  9.505378e-01
18              decreasesreduction  9.464138e-01
19              increasesstability  9.392385e-01
20               decreasessplicing  9.376476e-01
21         decreasespalmitoylation  9.370213e-01
22             affectslocalization  9.349469e-01
23   increasesnlinkedglycosylation  9.336451e-01
24              affectsdegradation  9.330678e-01
25            decreasessumoylation  9.294602e-01
26                 affectssplicing  9.168500e-01
27           decreaseslocalization  9.021248e-01
28          affectsphosphorylation  8.953456e-01
29      affectsresponsetosubstance  8.927301e-01
30             decreasesexpression  8.766802e-01
31            decreasesmethylation  8.726689e-01
32             decreaseshydrolysis  8.664510e-01
33          decreasesglycosylation  8.558965e-01
34              affectssumoylation  8.500685e-01
35                 affectsreaction  8.491086e-01
36               affectsexpression  8.444061e-01
37              affectscotreatment  8.199812e-01
38                  affectsbinding  8.098925e-01
39            increasesmethylation  8.052619e-01
40               decreasesreaction  7.838165e-01
41                 affectscleavage  7.625163e-01
42             increasesexpression  7.431310e-01
43              increasesamination  7.218997e-01
44                affectsacylation  7.086350e-01
45   decreasesolinkedglycosylation  6.666545e-01
46              increasessecretion  6.644255e-01
47                   affectsimport  6.370242e-01
48               increasesactivity  6.343555e-01
49              decreasesacylation  6.300791e-01
50                affectsabundance  6.298447e-01
51        increasesadpribosylation  6.153144e-01
52           increasesribosylation  6.080074e-01
53    increasesresponsetosubstance  6.033627e-01
54            decreasesprenylation  5.979514e-01
55         decreasesmyristoylation  5.934991e-01
56               decreasescleavage  5.699532e-01
57        increasesphosphorylation  5.633352e-01
58                 decreasesuptake  5.444130e-01
59            affectsglycosylation  5.416886e-01
60        affectsglutathionylation  4.881786e-01
61        decreasesphosphorylation  4.464057e-01
62              increasesabundance  4.363991e-01
63            affectscarboxylation  4.073733e-01
64              decreasesstability  3.965508e-01
65            increasesdegradation  3.846004e-01
66            decreasesacetylation  3.824954e-01
67                affectsglycation  3.562050e-01
68                increasesfolding  3.482874e-01
69          decreasescarboxylation  3.459899e-01
70            increasesacetylation  3.413123e-01
71                affectssecretion  2.789807e-01
72         decreasescarbamoylation  2.755687e-01
73               decreasesactivity  2.687919e-01
74              decreasessulfation  2.510882e-01
75     affectsnlinkedglycosylation  2.459609e-01
76         decreasespolymerization  2.428497e-01
77            increasessumoylation  2.292385e-01
78                affectsstability  2.193943e-01
79              increasestransport  2.187603e-01
80              decreasessecretion  2.163291e-01
81               increasescleavage  2.064171e-01
82              affectsacetylation  1.791013e-01
83              affectsmutagenesis  1.513091e-01
84              increasesacylation  1.225669e-01
85            decreasesmutagenesis  1.158185e-01
86          increasesglycosylation  9.233598e-02
87              decreasestransport  6.372948e-02
88         increasescarbamoylation  4.562837e-02
89               affectslipidation  4.306534e-02
90                 increasesexport  4.006478e-02
91               increasessplicing  3.056405e-02
92                 increasesimport  2.857812e-02
93              decreasesabundance  2.475332e-02
94               affectsalkylation  2.357496e-02
95                   affectsexport  2.245247e-02
96              decreasesoxidation  1.339420e-02
97              decreasesglycation  1.160282e-02
98                 decreasesexport  1.153793e-02
99      decreaseschemicalsynthesis  1.024373e-02
100                 affectsfolding  9.159893e-03
101               decreasesfolding  8.006224e-03
102         affectsglucuronidation  7.372756e-03
103   decreasesmetabolicprocessing  4.815691e-03
104           decreasesnitrosation  4.269617e-03
105             increasesglycation  3.806054e-03
106              affectshydrolysis  3.637850e-03
107     increaseschemicalsynthesis  3.326354e-03
108          affectspolymerization  2.389512e-03
109                  affectsuptake  1.077428e-03
110     decreasesglutathionylation  1.074024e-03
111            increaseslipidation  9.549774e-04
112       affectschemicalsynthesis  8.537791e-04
113       decreasesglucuronidation  8.507298e-04
114             increasesoxidation  7.586589e-04
115                decreasesimport  7.293455e-04
116            increasesalkylation  6.593402e-04
117                increasesuptake  4.558038e-04
118     affectsmetabolicprocessing  4.424110e-04
119           increasesmutagenesis  3.285379e-04
120               affectstransport  3.025026e-04
121   increasesmetabolicprocessing  2.912159e-04
122                affectsactivity  2.905052e-04
123            decreaseslipidation  1.739998e-04
124            increaseshydrolysis  1.684488e-04
125   decreasesresponsetosubstance  1.373139e-04
126               affectsoxidation  1.273798e-04
127             decreasesamination  1.189283e-04
128             increasessulfation  1.158835e-04
129     increasesglutathionylation  1.053741e-04
130         increaseshydroxylation  4.595164e-05
131           affectshydroxylation  7.428510e-06
132             increasesreduction  4.967839e-06
133               affectssulfation  3.937147e-06
134               affectsreduction  2.655067e-06
135            decreasesethylation  2.096658e-06
136         decreaseshydroxylation  1.364222e-06
137       increasesglucuronidation  1.291180e-07
138            decreasesalkylation  5.998562e-10
==================================================
