==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                 affectsstability     0.999997
1               affectsmutagenesis     0.999996
2           decreasesfarnesylation     0.999995
3    increasesolinkedglycosylation     0.999987
4             decreasesmutagenesis     0.999931
5               decreasesreduction     0.999912
6               decreasesoxidation     0.999893
7             increasesprenylation     0.999874
8           increasescarboxylation     0.999847
9          increasespalmitoylation     0.999438
10                increasesfolding     0.999393
11          decreasesglycosylation     0.999308
12                 affectscleavage     0.999294
13              decreasessulfation     0.999288
14             decreaseshydrolysis     0.999193
15          increasesglycosylation     0.999000
16            affectsglycosylation     0.998874
17            decreasesprenylation     0.998756
18            decreasesacetylation     0.998455
19            affectsfarnesylation     0.998136
20          increasesfarnesylation     0.998109
21            increasesmutagenesis     0.997198
22           affectsubiquitination     0.997052
23              affectsdegradation     0.996781
24              increasesacylation     0.996595
25               affectslipidation     0.996218
26            affectscarboxylation     0.995715
27   decreasesnlinkedglycosylation     0.995346
28              increasesstability     0.995217
29          decreasescarboxylation     0.994277
30              increasesamination     0.994263
31          affectsglucuronidation     0.993386
32            increasesdegradation     0.993385
33            decreasesdegradation     0.993054
34      decreasesglutathionylation     0.992227
35        decreasesphosphorylation     0.991804
36    decreasesresponsetosubstance     0.991684
37               decreasesreaction     0.991477
38         decreasespalmitoylation     0.990300
39         increasesubiquitination     0.989607
40                affectsabundance     0.989393
41            decreasesnitrosation     0.988509
42              affectssumoylation     0.987451
43              increasesglycation     0.987071
44          affectsphosphorylation     0.985529
45                 affectsreaction     0.980204
46                affectsacylation     0.979617
47            decreasessumoylation     0.975966
48           increaseslocalization     0.975215
49               decreasescleavage     0.974091
50              affectsacetylation     0.970586
51             decreasesexpression     0.969214
52    increasesresponsetosubstance     0.968441
53                  affectsfolding     0.967039
54            decreasesmethylation     0.966390
55               affectsalkylation     0.964395
56         increasescarbamoylation     0.964054
57        decreasesadpribosylation     0.963256
58              decreasestransport     0.962648
59        increasesphosphorylation     0.962199
60      decreaseschemicalsynthesis     0.961326
61               increasesactivity     0.960028
62               decreasessplicing     0.957836
63              decreasesstability     0.953900
64      affectsresponsetosubstance     0.951401
65          decreasesgeranoylation     0.948699
66            increasesnitrosation     0.944951
67              increasessecretion     0.943792
68               decreasesactivity     0.942743
69     affectsnlinkedglycosylation     0.941937
70             increasesalkylation     0.936683
71           increasesribosylation     0.935371
72             decreaseslipidation     0.933488
73               affectsexpression     0.932148
74              increasesabundance     0.927833
75               increasesreaction     0.924377
76   increasesnlinkedglycosylation     0.922315
77           affectspolymerization     0.917885
78               increasessplicing     0.904384
79             increasesexpression     0.897601
80            increasesmethylation     0.890922
81             affectslocalization     0.888078
82                  affectsbinding     0.880995
83           decreaseslocalization     0.856462
84        affectsglutathionylation     0.853401
85               increasescleavage     0.847305
86        increasesadpribosylation     0.840545
87        affectschemicalsynthesis     0.830601
88             increaseshydrolysis     0.822626
89        decreasesglucuronidation     0.813589
90                   affectsimport     0.793045
91         decreasespolymerization     0.789772
92              affectscotreatment     0.788673
93              affectsmethylation     0.781400
94                 decreasesexport     0.776831
95                 affectsactivity     0.775519
96                 decreasesuptake     0.771710
97              decreasesamination     0.741734
98              decreasesabundance     0.731230
99              decreasessecretion     0.713849
100            increaseslipidation     0.650790
101        decreasesubiquitination     0.624727
102           increasesacetylation     0.623841
103               affectsoxidation     0.621896
104                increasesuptake     0.612943
105             decreasesglycation     0.606347
106  decreasesolinkedglycosylation     0.580866
107                increasesimport     0.562777
108                  affectsuptake     0.541317
109             decreasesacylation     0.513313
110               affectsglycation     0.442442
111        decreasesmyristoylation     0.427329
112        decreasescarbamoylation     0.408259
113              affectshydrolysis     0.387703
114                affectssplicing     0.385613
115               decreasesfolding     0.371809
116                increasesexport     0.359005
117               affectsreduction     0.335663
118                  affectsexport     0.314627
119     increasesglutathionylation     0.280584
120   increasesmetabolicprocessing     0.241624
121                decreasesimport     0.232586
122     affectsmetabolicprocessing     0.134056
123           increasessumoylation     0.120992
124               affectssecretion     0.081931
125               affectstransport     0.077690
126     increaseschemicalsynthesis     0.060921
127             increasesoxidation     0.028175
128   decreasesmetabolicprocessing     0.026986
129            decreasesethylation     0.024046
130             increasestransport     0.023278
131               affectssulfation     0.023257
132           affectshydroxylation     0.011442
133             increasesreduction     0.008058
134         increaseshydroxylation     0.002532
135             increasessulfation     0.001006
136       increasesglucuronidation     0.000049
137            decreasesalkylation     0.000030
138         decreaseshydroxylation     0.000023
==================================================
