==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0             increasesnitrosation  9.999983e-01
1               decreasessulfation  9.999580e-01
2          decreasesubiquitination  9.999053e-01
3          increasesubiquitination  9.998074e-01
4           increasesfarnesylation  9.997815e-01
5           increasescarboxylation  9.997086e-01
6               affectsdegradation  9.993831e-01
7                decreasessplicing  9.992574e-01
8               decreasesamination  9.984144e-01
9              decreaseshydrolysis  9.982727e-01
10            affectsfarnesylation  9.981170e-01
11            decreasesdegradation  9.971119e-01
12                   affectsimport  9.969264e-01
13                affectsstability  9.963380e-01
14              increasesstability  9.962174e-01
15              increasesamination  9.950871e-01
16   increasesolinkedglycosylation  9.932085e-01
17           affectsubiquitination  9.928632e-01
18        decreasesphosphorylation  9.889429e-01
19          decreasesfarnesylation  9.883081e-01
20            increasesprenylation  9.882131e-01
21            decreasesacetylation  9.878419e-01
22          decreasescarboxylation  9.832395e-01
23          decreasesgeranoylation  9.819302e-01
24            decreasesprenylation  9.808103e-01
25              affectsacetylation  9.789603e-01
26         increasespalmitoylation  9.783045e-01
27            decreasessumoylation  9.779226e-01
28        decreasesadpribosylation  9.771887e-01
29          increasesglycosylation  9.767196e-01
30        increasesphosphorylation  9.753013e-01
31             increasesexpression  9.737439e-01
32              affectsmutagenesis  9.723622e-01
33             decreasesexpression  9.718394e-01
34                 decreasesimport  9.659307e-01
35              decreasesreduction  9.644493e-01
36            affectsglycosylation  9.639560e-01
37               affectsexpression  9.572380e-01
38               decreasesactivity  9.516944e-01
39              affectscotreatment  9.476520e-01
40              decreasesabundance  9.461140e-01
41                  affectsbinding  9.424781e-01
42                 affectsreaction  9.422258e-01
43               affectshydrolysis  9.409462e-01
44               increasesactivity  9.276050e-01
45           increaseslocalization  9.155138e-01
46   decreasesnlinkedglycosylation  9.138278e-01
47               decreasesreaction  9.051216e-01
48                affectsacylation  8.930625e-01
49            affectscarboxylation  8.919509e-01
50         decreasespalmitoylation  8.906767e-01
51              increasesabundance  8.906341e-01
52                 decreasesexport  8.861927e-01
53            decreasesnitrosation  8.828986e-01
54             increasesalkylation  8.774527e-01
55            decreasesmethylation  8.758190e-01
56                 affectssplicing  8.646026e-01
57              increasesacylation  8.621843e-01
58                affectsabundance  8.588431e-01
59            increasesmethylation  8.483720e-01
60            increasesacetylation  8.445653e-01
61      affectsresponsetosubstance  8.427066e-01
62            increasesdegradation  8.337908e-01
63           increasesribosylation  8.295084e-01
64             increaseshydrolysis  8.272433e-01
65          decreasesglycosylation  7.921337e-01
66         decreasesmyristoylation  7.797599e-01
67              affectsmethylation  7.741643e-01
68     affectsnlinkedglycosylation  7.668409e-01
69             affectslocalization  7.617459e-01
70      decreaseschemicalsynthesis  7.467269e-01
71        affectsglutathionylation  7.329388e-01
72              affectssumoylation  7.319746e-01
73               increasesreaction  7.306175e-01
74              decreasesstability  6.984015e-01
75            decreasesmutagenesis  6.906296e-01
76              decreasesglycation  6.902215e-01
77          affectsphosphorylation  6.697893e-01
78              decreasesoxidation  6.638138e-01
79         increasescarbamoylation  6.570129e-01
80           decreaseslocalization  6.430470e-01
81      decreasesglutathionylation  6.353442e-01
82                 affectsactivity  6.342570e-01
83        increasesadpribosylation  6.298273e-01
84                decreasesfolding  6.155519e-01
85               increasessplicing  6.074250e-01
86      increasesglutathionylation  5.947615e-01
87                increasesfolding  5.641087e-01
88   increasesnlinkedglycosylation  5.545366e-01
89              decreasesacylation  5.402752e-01
90        affectschemicalsynthesis  5.347002e-01
91               decreasescleavage  5.263030e-01
92                affectsglycation  4.987014e-01
93   decreasesolinkedglycosylation  4.890959e-01
94        decreasesglucuronidation  4.349676e-01
95         decreasespolymerization  3.987773e-01
96         decreasescarbamoylation  3.682826e-01
97           affectspolymerization  3.380463e-01
98               increasescleavage  3.283939e-01
99          affectsglucuronidation  3.197258e-01
100             increasestransport  2.811832e-01
101   increasesmetabolicprocessing  2.340999e-01
102             decreasessecretion  1.757999e-01
103   increasesresponsetosubstance  1.561615e-01
104               affectstransport  1.526503e-01
105                  affectsuptake  1.332863e-01
106           increasessumoylation  1.111063e-01
107             increasesglycation  9.102397e-02
108                affectscleavage  8.376236e-02
109              affectslipidation  8.359290e-02
110             increasessecretion  8.135271e-02
111               affectsoxidation  8.109311e-02
112   decreasesmetabolicprocessing  6.260625e-02
113             increasesreduction  6.012990e-02
114     increaseschemicalsynthesis  5.808187e-02
115               affectssecretion  5.561299e-02
116              affectsalkylation  5.368444e-02
117                increasesexport  5.171041e-02
118             increasesoxidation  3.925532e-02
119               affectssulfation  3.709047e-02
120                  affectsexport  3.080817e-02
121                increasesimport  2.945364e-02
122             decreasestransport  2.692826e-02
123           increasesmutagenesis  2.095364e-02
124                decreasesuptake  1.655825e-02
125               affectsreduction  1.155746e-02
126   decreasesresponsetosubstance  1.851937e-03
127         increaseshydroxylation  1.664391e-03
128                increasesuptake  1.106194e-03
129                 affectsfolding  4.626955e-04
130             increasessulfation  1.343463e-04
131            increaseslipidation  6.466055e-05
132            decreaseslipidation  5.474118e-05
133     affectsmetabolicprocessing  1.852328e-05
134            decreasesethylation  1.517396e-05
135         decreaseshydroxylation  3.551426e-07
136           affectshydroxylation  2.699294e-08
137            decreasesalkylation  2.383125e-10
138       increasesglucuronidation  1.482049e-10
==================================================
