==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                decreasescleavage     0.999948
1            affectspolymerization     0.999916
2                decreasessplicing     0.999855
3               decreasesreduction     0.999596
4               affectsdegradation     0.999580
5               decreasessulfation     0.999478
6                  decreasesimport     0.999143
7             increasesprenylation     0.999126
8                increasessplicing     0.999036
9                    affectsimport     0.998697
10              increasesacylation     0.998133
11        decreasesglucuronidation     0.997885
12              increasesstability     0.997495
13             increasesexpression     0.997407
14              decreasesstability     0.996971
15             decreaseshydrolysis     0.996929
16                affectsstability     0.996888
17              affectsmutagenesis     0.996846
18                 affectscleavage     0.996271
19          decreasesglycosylation     0.995815
20            increasesnitrosation     0.995735
21            affectscarboxylation     0.995284
22              affectscotreatment     0.995118
23              decreasestransport     0.994626
24   decreasesnlinkedglycosylation     0.994201
25         decreasesubiquitination     0.994172
26         increasescarbamoylation     0.993312
27                 affectsreaction     0.992671
28          decreasesfarnesylation     0.992401
29         increasesubiquitination     0.992288
30                  affectsbinding     0.992154
31                 decreasesexport     0.992073
32            decreasesprenylation     0.992011
33            decreasesacetylation     0.991200
34            increasesacetylation     0.990690
35             increasesalkylation     0.990680
36            affectsfarnesylation     0.989789
37         increasespalmitoylation     0.989656
38                  affectsfolding     0.989604
39      decreasesglutathionylation     0.988687
40              increasesamination     0.987981
41          increasescarboxylation     0.987349
42               increasesactivity     0.987098
43                 decreasesuptake     0.986692
44            increasesdegradation     0.985784
45                decreasesfolding     0.984876
46               decreasesactivity     0.984728
47            affectsglycosylation     0.984585
48              decreasesamination     0.980205
49               affectslipidation     0.979588
50             increaseslipidation     0.979543
51           decreaseslocalization     0.977996
52              affectsacetylation     0.977869
53               decreasesreaction     0.977781
54   increasesolinkedglycosylation     0.977024
55    decreasesmetabolicprocessing     0.976117
56                affectsabundance     0.974552
57               affectsexpression     0.972547
58                 affectsactivity     0.972281
59    decreasesresponsetosubstance     0.972253
60              increasesabundance     0.972194
61            decreasesnitrosation     0.969142
62            decreasesmutagenesis     0.966522
63           increaseslocalization     0.964073
64   increasesnlinkedglycosylation     0.952236
65              decreasesabundance     0.949843
66         decreasespolymerization     0.946719
67                increasesfolding     0.944455
68             affectslocalization     0.943385
69            decreasesdegradation     0.914291
70               increasesreaction     0.912911
71             decreasesexpression     0.912724
72              increasessecretion     0.910326
73         decreasespalmitoylation     0.894584
74              increasesglycation     0.891156
75           affectsubiquitination     0.890759
76        affectsglutathionylation     0.882893
77                 increasesexport     0.869405
78               increasescleavage     0.867053
79               affectshydrolysis     0.864005
80          decreasesgeranoylation     0.863945
81                 increasesuptake     0.861279
82          increasesglycosylation     0.857663
83              decreasesglycation     0.854960
84           increasesribosylation     0.850823
85               affectsalkylation     0.839691
86             decreaseslipidation     0.838638
87        affectschemicalsynthesis     0.817540
88     affectsnlinkedglycosylation     0.800838
89      affectsresponsetosubstance     0.768790
90              decreasessecretion     0.761189
91            increasesmethylation     0.752707
92          decreasescarboxylation     0.714299
93            decreasesmethylation     0.703205
94      decreaseschemicalsynthesis     0.702136
95              decreasesoxidation     0.691350
96          increasesfarnesylation     0.685648
97                   affectsuptake     0.682798
98          affectsglucuronidation     0.670115
99   decreasesolinkedglycosylation     0.667384
100       decreasesadpribosylation     0.633675
101     increasesglutathionylation     0.617913
102             decreasesacylation     0.590314
103               affectsreduction     0.579685
104        decreasescarbamoylation     0.559301
105   increasesresponsetosubstance     0.555855
106                increasesimport     0.540762
107       increasesphosphorylation     0.511692
108               affectsacylation     0.489957
109        decreasesmyristoylation     0.453063
110           increasessumoylation     0.444443
111             affectssumoylation     0.442846
112               affectsglycation     0.428117
113               affectsoxidation     0.392114
114            increaseshydrolysis     0.371666
115               affectstransport     0.359095
116               affectssecretion     0.307966
117             increasestransport     0.291455
118                  affectsexport     0.276271
119             increasesreduction     0.246384
120   increasesmetabolicprocessing     0.172769
121               affectssulfation     0.148120
122     affectsmetabolicprocessing     0.126754
123         decreaseshydroxylation     0.111523
124             increasesoxidation     0.056426
125           increasesmutagenesis     0.056060
126           decreasessumoylation     0.055199
127       increasesadpribosylation     0.036230
128                affectssplicing     0.027618
129            decreasesethylation     0.025836
130         increaseshydroxylation     0.024329
131       decreasesphosphorylation     0.009796
132     increaseschemicalsynthesis     0.007282
133            decreasesalkylation     0.002694
134         affectsphosphorylation     0.002142
135           affectshydroxylation     0.000543
136             increasessulfation     0.000510
137             affectsmethylation     0.000110
138       increasesglucuronidation     0.000042
==================================================
