==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0           increasesfarnesylation  9.999398e-01
1          increasespalmitoylation  9.992462e-01
2                  increasesimport  9.972810e-01
3              decreaseshydrolysis  9.965476e-01
4               increasesamination  9.954417e-01
5         decreasesglucuronidation  9.954318e-01
6           decreasescarboxylation  9.912504e-01
7           affectsglucuronidation  9.909916e-01
8             affectscarboxylation  9.749596e-01
9             decreasesmethylation  9.451449e-01
10               decreasesactivity  9.367840e-01
11                affectstransport  9.249216e-01
12              affectsmethylation  9.166800e-01
13             increaseshydrolysis  8.947853e-01
14      increaseschemicalsynthesis  8.866067e-01
15                   affectsuptake  8.782179e-01
16                affectsstability  8.574113e-01
17              increasestransport  8.565125e-01
18   decreasesnlinkedglycosylation  8.517640e-01
19              affectsacetylation  8.002478e-01
20            increasesmethylation  7.946783e-01
21        increasesglucuronidation  7.838488e-01
22                 affectsactivity  7.551113e-01
23      affectsresponsetosubstance  7.519969e-01
24                affectsglycation  6.756133e-01
25              increasesacylation  6.687098e-01
26              decreasesacylation  6.651703e-01
27               increasesactivity  6.463441e-01
28            increasesnitrosation  6.445486e-01
29                affectsabundance  6.331997e-01
30          increasesglycosylation  5.967453e-01
31             decreasesexpression  5.808821e-01
32              decreasesabundance  5.581616e-01
33              decreasesamination  5.517112e-01
34               affectshydrolysis  5.208902e-01
35              decreasessecretion  5.173881e-01
36         decreasescarbamoylation  5.106208e-01
37               decreasesreaction  4.568984e-01
38    decreasesmetabolicprocessing  4.373621e-01
39                 increasesuptake  4.354995e-01
40             increasesexpression  4.147758e-01
41     affectsnlinkedglycosylation  4.122467e-01
42         decreasesmyristoylation  3.973548e-01
43              decreasesstability  3.551672e-01
44      decreaseschemicalsynthesis  3.498274e-01
45           increasesribosylation  3.089169e-01
46      decreasesglutathionylation  3.073585e-01
47            decreasesacetylation  3.010233e-01
48   decreasesolinkedglycosylation  2.886899e-01
49              increasesreduction  2.698701e-01
50                  affectsbinding  2.570728e-01
51              affectscotreatment  2.521636e-01
52              decreasesoxidation  2.270364e-01
53            decreasessumoylation  1.899275e-01
54        decreasesadpribosylation  1.824994e-01
55        affectsglutathionylation  1.559390e-01
56            affectsfarnesylation  1.298587e-01
57         increasescarbamoylation  1.258899e-01
58                 decreasesexport  1.158604e-01
59               affectsexpression  1.073391e-01
60               increasesreaction  8.935960e-02
61              decreasesreduction  8.456710e-02
62              increasesoxidation  8.018821e-02
63         decreasespolymerization  6.400686e-02
64              increasessulfation  6.305367e-02
65                affectsacylation  5.819397e-02
66              decreasesglycation  5.789972e-02
67                 affectssplicing  5.754979e-02
68        increasesadpribosylation  5.606110e-02
69              increasesstability  5.493744e-02
70            increasesprenylation  5.363406e-02
71         decreasespalmitoylation  5.349054e-02
72            affectsglycosylation  5.215225e-02
73        affectschemicalsynthesis  4.598160e-02
74   increasesnlinkedglycosylation  4.165708e-02
75            decreasesdegradation  3.461133e-02
76                   affectsexport  3.414165e-02
77              affectsdegradation  3.371917e-02
78              decreasessulfation  3.286386e-02
79               affectsalkylation  2.878745e-02
80             decreasesethylation  2.689278e-02
81                affectsoxidation  2.552244e-02
82          decreasesglycosylation  2.529129e-02
83             increasesalkylation  2.337368e-02
84           affectsubiquitination  1.893600e-02
85              increasessecretion  1.569637e-02
86              increasesglycation  1.479866e-02
87    increasesmetabolicprocessing  1.416985e-02
88               increasessplicing  1.352615e-02
89    decreasesresponsetosubstance  9.586409e-03
90          increasescarboxylation  8.840521e-03
91                 increasesexport  8.307576e-03
92         increasesubiquitination  5.651142e-03
93   increasesolinkedglycosylation  5.317643e-03
94          affectsphosphorylation  2.796749e-03
95                 decreasesimport  2.717282e-03
96        increasesphosphorylation  1.973040e-03
97                 affectscleavage  1.782330e-03
98           decreaseslocalization  1.771088e-03
99            decreasesnitrosation  1.680018e-03
100                  affectsimport  1.438299e-03
101           increasesmutagenesis  1.373547e-03
102           increasesdegradation  1.201632e-03
103            affectslocalization  6.612420e-04
104          increaseslocalization  6.132819e-04
105               affectssulfation  5.910751e-04
106           decreasesprenylation  5.709948e-04
107           decreasesmutagenesis  5.343492e-04
108             increasesabundance  5.093094e-04
109              decreasessplicing  4.639069e-04
110         decreasesgeranoylation  4.393395e-04
111               increasesfolding  4.317863e-04
112              increasescleavage  4.151869e-04
113         increaseshydroxylation  3.267559e-04
114     increasesglutathionylation  3.157817e-04
115           affectshydroxylation  3.025203e-04
116          affectspolymerization  2.802799e-04
117         decreasesfarnesylation  2.421400e-04
118                decreasesuptake  8.057336e-05
119     affectsmetabolicprocessing  6.376940e-05
120               affectssecretion  5.503697e-05
121              decreasescleavage  5.149890e-05
122         decreaseshydroxylation  4.951086e-05
123             decreasestransport  3.889871e-05
124        decreasesubiquitination  2.958493e-05
125             affectsmutagenesis  2.087900e-05
126           increasesacetylation  1.397316e-05
127   increasesresponsetosubstance  1.169539e-05
128                affectsreaction  5.296963e-06
129            decreasesalkylation  4.173493e-06
130                 affectsfolding  2.492362e-06
131              affectslipidation  2.147542e-06
132               decreasesfolding  1.800761e-06
133             affectssumoylation  8.751525e-07
134               affectsreduction  8.049077e-07
135           increasessumoylation  8.002876e-07
136       decreasesphosphorylation  2.566554e-07
137            increaseslipidation  1.433951e-07
138            decreaseslipidation  1.991330e-11
==================================================
