==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0             increasesprenylation  9.790456e-01
1                decreasessplicing  9.049534e-01
2         increasesphosphorylation  8.535096e-01
3               increasesabundance  8.338764e-01
4              increasesexpression  7.894774e-01
5               affectscotreatment  7.401633e-01
6                decreasesreaction  6.929710e-01
7                affectsexpression  6.767319e-01
8               affectssumoylation  6.723905e-01
9          decreasesmyristoylation  6.155263e-01
10               affectslipidation  5.953274e-01
11             decreasesexpression  5.612021e-01
12        decreasesphosphorylation  5.574307e-01
13              affectsmethylation  5.379999e-01
14              decreasesacylation  4.863649e-01
15   increasesnlinkedglycosylation  4.397435e-01
16                affectsglycation  3.933467e-01
17   decreasesolinkedglycosylation  3.808011e-01
18            affectsfarnesylation  3.760290e-01
19                affectsacylation  2.267286e-01
20         decreasescarbamoylation  2.168837e-01
21         decreasespalmitoylation  2.130625e-01
22         increasespalmitoylation  1.771927e-01
23             decreaseshydrolysis  1.723970e-01
24              decreasesabundance  1.679174e-01
25              decreasestransport  1.507439e-01
26            decreasesprenylation  9.330508e-02
27   increasesolinkedglycosylation  9.154079e-02
28         decreasespolymerization  9.089325e-02
29        affectsglutathionylation  7.930589e-02
30            decreasessumoylation  6.487852e-02
31            increasesmethylation  6.317434e-02
32             affectslocalization  4.173794e-02
33              affectsdegradation  4.023062e-02
34              decreasessecretion  3.955164e-02
35    increasesresponsetosubstance  3.576865e-02
36                affectsreduction  3.430069e-02
37   decreasesnlinkedglycosylation  3.017122e-02
38          decreasesglycosylation  2.757388e-02
39              decreasesreduction  2.690179e-02
40           increaseslocalization  2.569313e-02
41     affectsnlinkedglycosylation  2.539404e-02
42           increasesribosylation  2.531698e-02
43                increasesfolding  2.512456e-02
44            affectscarboxylation  2.227856e-02
45            decreasesmutagenesis  1.430478e-02
46              increasesstability  1.341629e-02
47            decreasesdegradation  1.319601e-02
48              increasessecretion  1.145387e-02
49          decreasesfarnesylation  1.135984e-02
50          increasescarboxylation  1.073649e-02
51             decreaseslipidation  8.801369e-03
52          affectsglucuronidation  7.930611e-03
53            increasesnitrosation  7.885744e-03
54                 increasesuptake  6.299243e-03
55          increasesglycosylation  6.083040e-03
56          decreasesgeranoylation  6.055599e-03
57            increasesdegradation  5.522124e-03
58              increasestransport  5.163078e-03
59         increasescarbamoylation  3.660944e-03
60        decreasesadpribosylation  2.341325e-03
61                 affectsreaction  2.258373e-03
62               decreasesactivity  2.207424e-03
63    decreasesresponsetosubstance  1.992416e-03
64                 decreasesimport  1.672164e-03
65                 decreasesexport  1.598902e-03
66               increasescleavage  1.527852e-03
67               decreasescleavage  1.433017e-03
68            decreasesmethylation  1.354853e-03
69               affectsalkylation  1.241718e-03
70            increasesacetylation  1.066471e-03
71              increasesamination  9.573277e-04
72               increasesreaction  7.319587e-04
73          affectsphosphorylation  6.409318e-04
74          decreasescarboxylation  5.136712e-04
75        increasesadpribosylation  4.663799e-04
76               increasesactivity  3.931029e-04
77      decreaseschemicalsynthesis  3.913273e-04
78           decreaseslocalization  3.638293e-04
79                decreasesfolding  3.564774e-04
80              increasesacylation  2.618566e-04
81           affectspolymerization  2.455787e-04
82            decreasesacetylation  2.324431e-04
83              increasesglycation  2.223648e-04
84             increasesalkylation  2.148818e-04
85              decreasessulfation  2.138543e-04
86      increasesglutathionylation  1.717280e-04
87                 increasesexport  1.560109e-04
88             increaseslipidation  1.428490e-04
89            decreasesnitrosation  1.234813e-04
90         decreasesubiquitination  8.367163e-05
91            increasessumoylation  8.223404e-05
92              affectsmutagenesis  7.378781e-05
93                affectsstability  7.172950e-05
94      decreasesglutathionylation  6.947406e-05
95                 affectssplicing  6.116229e-05
96         increasesubiquitination  6.053191e-05
97                affectssulfation  4.295104e-05
98             increaseshydrolysis  3.749938e-05
99              increasessulfation  3.483429e-05
100             decreasesstability  3.075324e-05
101   decreasesmetabolicprocessing  3.028112e-05
102               affectsoxidation  2.754441e-05
103       decreasesglucuronidation  2.310944e-05
104                affectscleavage  2.081780e-05
105     affectsresponsetosubstance  2.078703e-05
106           affectsglycosylation  1.816150e-05
107          affectsubiquitination  1.759781e-05
108             decreasesoxidation  1.649640e-05
109             affectsacetylation  1.444503e-05
110               affectssecretion  1.398010e-05
111         increasesfarnesylation  1.392911e-05
112             decreasesglycation  1.345803e-05
113   increasesmetabolicprocessing  1.275854e-05
114                  affectsimport  1.043959e-05
115                decreasesuptake  1.038642e-05
116                  affectsuptake  8.007220e-06
117           increasesmutagenesis  7.123500e-06
118              affectshydrolysis  4.797505e-06
119                affectsactivity  4.304044e-06
120     affectsmetabolicprocessing  2.085317e-06
121               affectsabundance  1.612588e-06
122                 affectsbinding  8.820828e-07
123            decreasesethylation  5.809388e-07
124             decreasesamination  4.293907e-07
125            decreasesalkylation  3.944145e-07
126             increasesoxidation  2.929704e-07
127                increasesimport  1.725884e-07
128                  affectsexport  1.669151e-07
129               affectstransport  1.321224e-07
130     increaseschemicalsynthesis  1.032836e-07
131       affectschemicalsynthesis  9.616596e-08
132       increasesglucuronidation  4.457034e-08
133         increaseshydroxylation  3.423342e-08
134              increasessplicing  3.048276e-08
135                 affectsfolding  1.821466e-08
136             increasesreduction  1.052912e-08
137           affectshydroxylation  6.596321e-09
138         decreaseshydroxylation  2.124684e-09
==================================================
