==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0           decreasesfarnesylation  9.999995e-01
1               decreasessulfation  9.999987e-01
2    increasesolinkedglycosylation  9.999943e-01
3           decreasescarboxylation  9.999903e-01
4          decreasespalmitoylation  9.999713e-01
5           affectsphosphorylation  9.999372e-01
6           increasescarboxylation  9.998969e-01
7           increasesfarnesylation  9.998088e-01
8               increasesstability  9.997936e-01
9            affectsubiquitination  9.997390e-01
10             decreaseshydrolysis  9.996747e-01
11              increasesamination  9.996432e-01
12          decreasesgeranoylation  9.995554e-01
13            increasesnitrosation  9.994428e-01
14            decreasesmutagenesis  9.994249e-01
15              affectsdegradation  9.994202e-01
16            decreasesprenylation  9.993948e-01
17          increasesglycosylation  9.993107e-01
18              decreasesamination  9.990677e-01
19            decreasesdegradation  9.989007e-01
20            decreasessumoylation  9.988478e-01
21            decreasesacetylation  9.988142e-01
22            affectsfarnesylation  9.983370e-01
23        decreasesadpribosylation  9.981363e-01
24              affectssumoylation  9.976879e-01
25              decreasesreduction  9.976766e-01
26            increasesdegradation  9.975997e-01
27                affectsstability  9.971819e-01
28        increasesadpribosylation  9.960666e-01
29                increasesfolding  9.950575e-01
30            increasesprenylation  9.939007e-01
31              affectsmutagenesis  9.932540e-01
32        increasesphosphorylation  9.924189e-01
33            affectscarboxylation  9.908143e-01
34         increasesubiquitination  9.901372e-01
35         increasespalmitoylation  9.892173e-01
36          decreasesglycosylation  9.881848e-01
37             increasesalkylation  9.857093e-01
38              affectsacetylation  9.812912e-01
39                  affectsbinding  9.808820e-01
40             decreasesexpression  9.782656e-01
41                 affectsactivity  9.776527e-01
42        affectsglutathionylation  9.773557e-01
43      decreasesglutathionylation  9.741189e-01
44                 affectssplicing  9.721938e-01
45          affectsglucuronidation  9.721096e-01
46                 affectsreaction  9.692248e-01
47   decreasesnlinkedglycosylation  9.655156e-01
48              increasesabundance  9.638395e-01
49               affectslipidation  9.632344e-01
50        decreasesphosphorylation  9.629756e-01
51              decreasesstability  9.612941e-01
52               decreasessplicing  9.589087e-01
53             increasesexpression  9.586892e-01
54                affectsreduction  9.574446e-01
55                 affectscleavage  9.553028e-01
56    decreasesresponsetosubstance  9.549171e-01
57              decreasesoxidation  9.488313e-01
58              decreasesabundance  9.373922e-01
59        decreasesglucuronidation  9.360003e-01
60               decreasesactivity  9.230859e-01
61                affectsacylation  9.219219e-01
62      affectsresponsetosubstance  9.121178e-01
63              affectscotreatment  9.024074e-01
64            decreasesmethylation  9.010285e-01
65               affectsexpression  8.989441e-01
66              decreasesglycation  8.906692e-01
67                 decreasesexport  8.670697e-01
68            increasesmethylation  8.423872e-01
69              affectsmethylation  8.396057e-01
70               increasesactivity  8.315223e-01
71             affectslocalization  8.275420e-01
72    increasesresponsetosubstance  8.074328e-01
73           increasesribosylation  8.008578e-01
74               affectsalkylation  7.882698e-01
75           increaseslocalization  7.710561e-01
76               decreasesreaction  7.530227e-01
77              increasesacylation  7.082420e-01
78   increasesnlinkedglycosylation  6.679296e-01
79                affectsabundance  6.522522e-01
80                   affectsimport  6.505454e-01
81   decreasesolinkedglycosylation  6.475277e-01
82               affectshydrolysis  6.440312e-01
83           affectspolymerization  6.284578e-01
84                affectsglycation  5.849507e-01
85              decreasesacylation  5.713444e-01
86         decreasesmyristoylation  5.668291e-01
87            decreasesnitrosation  5.420014e-01
88    decreasesmetabolicprocessing  5.285773e-01
89     affectsnlinkedglycosylation  5.212539e-01
90            increasesacetylation  5.105701e-01
91         decreasespolymerization  4.899544e-01
92         increasescarbamoylation  4.718250e-01
93              increasesoxidation  4.668798e-01
94           decreaseslocalization  4.647017e-01
95              increasesglycation  4.091198e-01
96               increasescleavage  3.998327e-01
97         decreasescarbamoylation  3.946071e-01
98            increasessumoylation  3.191614e-01
99            increasesmutagenesis  3.165255e-01
100     decreaseschemicalsynthesis  2.708794e-01
101               affectstransport  2.440415e-01
102              increasesreaction  2.391467e-01
103     increaseschemicalsynthesis  2.371299e-01
104                  affectsuptake  2.203796e-01
105           affectsglycosylation  1.720490e-01
106                decreasesuptake  1.636964e-01
107             increasesreduction  1.601834e-01
108        decreasesubiquitination  1.368801e-01
109             decreasestransport  1.302141e-01
110             increasestransport  8.788915e-02
111   increasesmetabolicprocessing  7.373889e-02
112                increasesuptake  7.049786e-02
113                 affectsfolding  6.685606e-02
114       affectschemicalsynthesis  6.519778e-02
115            increaseshydrolysis  6.210852e-02
116              decreasescleavage  4.966621e-02
117                decreasesimport  4.466733e-02
118     increasesglutathionylation  3.635434e-02
119            increaseslipidation  3.254320e-02
120                  affectsexport  2.095289e-02
121               affectssecretion  1.016052e-02
122                increasesimport  1.008446e-02
123                increasesexport  9.166010e-03
124     affectsmetabolicprocessing  6.657623e-03
125             decreasessecretion  4.882080e-03
126              increasessplicing  4.643779e-03
127            decreaseslipidation  4.177532e-03
128               affectssulfation  3.359754e-03
129               decreasesfolding  2.243959e-03
130               affectsoxidation  6.190381e-04
131         decreaseshydroxylation  5.161584e-04
132             increasessecretion  2.213391e-04
133           affectshydroxylation  1.046701e-04
134            decreasesethylation  2.018065e-05
135             increasessulfation  1.893493e-05
136         increaseshydroxylation  5.642528e-06
137            decreasesalkylation  7.789836e-08
138       increasesglucuronidation  6.179791e-09
==================================================
