==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0    increasesolinkedglycosylation  1.000000e+00
1           decreasesfarnesylation  9.999970e-01
2           decreasesglycosylation  9.999964e-01
3             increasesprenylation  9.999884e-01
4                decreasessplicing  9.999874e-01
5    decreasesnlinkedglycosylation  9.997998e-01
6         increasesadpribosylation  9.997815e-01
7           decreasesgeranoylation  9.997805e-01
8                affectslipidation  9.997792e-01
9               decreasessulfation  9.997676e-01
10         decreasespalmitoylation  9.997573e-01
11            affectsglycosylation  9.996425e-01
12          increasesfarnesylation  9.996138e-01
13              increasesstability  9.995729e-01
14              affectsmutagenesis  9.994972e-01
15           affectsubiquitination  9.994833e-01
16            increasesnitrosation  9.994102e-01
17            affectsfarnesylation  9.993350e-01
18              affectsdegradation  9.992439e-01
19         increasesubiquitination  9.992435e-01
20              affectssumoylation  9.992217e-01
21            increasesacetylation  9.988775e-01
22                   affectsimport  9.988196e-01
23         decreasesubiquitination  9.988166e-01
24          increasescarboxylation  9.984262e-01
25                affectsstability  9.982150e-01
26          affectsphosphorylation  9.978377e-01
27              decreasesoxidation  9.975315e-01
28        decreasesadpribosylation  9.970666e-01
29            decreasesdegradation  9.968177e-01
30            decreasessumoylation  9.965605e-01
31             increasesalkylation  9.965045e-01
32            decreasesprenylation  9.961439e-01
33              decreasesreduction  9.961408e-01
34           decreaseslocalization  9.960845e-01
35                increasesfolding  9.958883e-01
36           increaseslocalization  9.956741e-01
37             affectslocalization  9.954131e-01
38                affectssecretion  9.951968e-01
39                affectsacylation  9.951202e-01
40             decreaseshydrolysis  9.949668e-01
41   increasesnlinkedglycosylation  9.944921e-01
42            increasesdegradation  9.935999e-01
43            increasessumoylation  9.932770e-01
44            decreasesmutagenesis  9.930217e-01
45              affectsacetylation  9.895499e-01
46      decreasesglutathionylation  9.884745e-01
47                  affectsbinding  9.879636e-01
48        increasesphosphorylation  9.878870e-01
49             decreaseslipidation  9.873551e-01
50               decreasesreaction  9.852668e-01
51                 decreasesuptake  9.852646e-01
52            decreasesmethylation  9.823669e-01
53         increasespalmitoylation  9.821188e-01
54              decreasesstability  9.800464e-01
55              increasesoxidation  9.786540e-01
56            affectscarboxylation  9.775604e-01
57     affectsnlinkedglycosylation  9.771876e-01
58              decreasessecretion  9.771487e-01
59        decreasesphosphorylation  9.757839e-01
60           increasesribosylation  9.729945e-01
61                decreasesfolding  9.715251e-01
62              decreasestransport  9.694243e-01
63        affectsglutathionylation  9.692545e-01
64              affectscotreatment  9.691918e-01
65          decreasescarboxylation  9.676375e-01
66              increasesamination  9.654886e-01
67      increasesglutathionylation  9.648778e-01
68             decreasesexpression  9.643498e-01
69                 decreasesexport  9.617605e-01
70                affectsreduction  9.613656e-01
71            decreasesacetylation  9.603392e-01
72    decreasesresponsetosubstance  9.601053e-01
73      affectsresponsetosubstance  9.573475e-01
74               decreasescleavage  9.565001e-01
75             increasesexpression  9.540095e-01
76    increasesmetabolicprocessing  9.536284e-01
77             increaseslipidation  9.520563e-01
78              increasessecretion  9.518978e-01
79            decreasesnitrosation  9.456432e-01
80              increasesabundance  9.455689e-01
81               affectsalkylation  9.435581e-01
82                 affectssplicing  9.404984e-01
83          increasesglycosylation  9.389695e-01
84      increaseschemicalsynthesis  9.386995e-01
85               affectsexpression  9.367691e-01
86                affectsabundance  9.308816e-01
87                 affectsreaction  9.304682e-01
88           affectspolymerization  9.210395e-01
89              affectsmethylation  9.133000e-01
90              decreasesabundance  9.123974e-01
91              increasesacylation  9.074632e-01
92         decreasespolymerization  9.040479e-01
93      decreaseschemicalsynthesis  8.896304e-01
94            increasesmethylation  8.895078e-01
95               increasesreaction  8.829637e-01
96               increasessplicing  8.794120e-01
97                 affectsactivity  8.568771e-01
98                 affectscleavage  8.278174e-01
99         increasescarbamoylation  7.844036e-01
100                decreasesimport  7.731770e-01
101             decreasesglycation  7.557693e-01
102             increasesreduction  7.501391e-01
103              decreasesactivity  7.454786e-01
104       affectschemicalsynthesis  7.373199e-01
105              increasescleavage  6.755426e-01
106  decreasesolinkedglycosylation  6.394243e-01
107                 affectsfolding  6.180484e-01
108                increasesimport  6.158157e-01
109               affectsoxidation  5.866750e-01
110           increasesmutagenesis  5.751898e-01
111               affectsglycation  5.439730e-01
112   decreasesmetabolicprocessing  4.842879e-01
113                increasesexport  4.559525e-01
114        decreasescarbamoylation  4.163364e-01
115             decreasesamination  4.057025e-01
116             decreasesacylation  3.918309e-01
117        decreasesmyristoylation  3.841678e-01
118              affectshydrolysis  3.283971e-01
119                increasesuptake  3.275401e-01
120             increasestransport  2.521393e-01
121                  affectsuptake  2.479365e-01
122   increasesresponsetosubstance  2.445612e-01
123         affectsglucuronidation  1.827275e-01
124             increasesglycation  1.432131e-01
125            increaseshydrolysis  1.383309e-01
126              increasesactivity  1.115303e-01
127     affectsmetabolicprocessing  8.967627e-02
128               affectssulfation  6.427553e-02
129       decreasesglucuronidation  6.227464e-02
130                  affectsexport  4.719827e-02
131               affectstransport  4.494401e-02
132           affectshydroxylation  3.938108e-02
133            decreasesethylation  3.261147e-02
134         decreaseshydroxylation  1.201537e-02
135         increaseshydroxylation  3.239201e-03
136            decreasesalkylation  2.125474e-04
137             increasessulfation  5.271345e-07
138       increasesglucuronidation  1.323286e-07
==================================================
