==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0             increasesprenylation  9.819103e-01
1               affectssumoylation  8.784970e-01
2         decreasesphosphorylation  8.700583e-01
3         increasesphosphorylation  7.620327e-01
4               decreasesreduction  6.893825e-01
5                decreasessplicing  6.852082e-01
6              decreasesexpression  5.840570e-01
7              increasesexpression  5.653366e-01
8          decreasesmyristoylation  5.510855e-01
9                decreasesreaction  5.293584e-01
10            decreasessumoylation  5.242688e-01
11               affectslipidation  5.209157e-01
12               affectsexpression  4.832507e-01
13              decreasesacylation  4.495838e-01
14                affectsglycation  3.378471e-01
15          increasesglycosylation  3.105301e-01
16                affectsacylation  2.884881e-01
17   decreasesolinkedglycosylation  2.830002e-01
18         decreasescarbamoylation  2.577140e-01
19            affectsfarnesylation  2.493018e-01
20         decreasespolymerization  1.503310e-01
21                affectsreduction  1.386953e-01
22              affectsdegradation  1.320108e-01
23              increasesabundance  1.265957e-01
24   increasesolinkedglycosylation  1.252353e-01
25              affectscotreatment  1.239967e-01
26        affectsglutathionylation  1.232379e-01
27   increasesnlinkedglycosylation  9.742544e-02
28     affectsnlinkedglycosylation  9.022332e-02
29            decreasesprenylation  8.134345e-02
30        decreasesadpribosylation  7.961272e-02
31           increasesribosylation  6.665337e-02
32          affectsphosphorylation  5.570077e-02
33      increasesglutathionylation  4.417190e-02
34            decreasesacetylation  4.407628e-02
35              decreasestransport  3.413030e-02
36    increasesresponsetosubstance  2.730902e-02
37           increaseslocalization  2.413151e-02
38            increasesacetylation  2.391675e-02
39         decreasesubiquitination  1.889669e-02
40                 decreasesexport  1.540120e-02
41              increasessecretion  1.404571e-02
42            affectscarboxylation  1.343070e-02
43         increasesubiquitination  1.225905e-02
44         decreasespalmitoylation  1.223243e-02
45             decreaseshydrolysis  1.126541e-02
46                increasesfolding  1.057294e-02
47                 increasesuptake  9.874395e-03
48   decreasesnlinkedglycosylation  7.956325e-03
49            increasesdegradation  7.810473e-03
50             decreaseslipidation  7.668501e-03
51      decreaseschemicalsynthesis  7.658406e-03
52        increasesadpribosylation  6.594983e-03
53            decreasesmutagenesis  4.223155e-03
54               affectsalkylation  3.345128e-03
55    decreasesmetabolicprocessing  2.897100e-03
56            increasesnitrosation  2.559016e-03
57               increasesactivity  2.499022e-03
58               decreasescleavage  2.483173e-03
59          decreasescarboxylation  2.062567e-03
60          decreasesgeranoylation  1.885218e-03
61               increasescleavage  1.830487e-03
62                affectssecretion  1.714793e-03
63          increasescarboxylation  1.594941e-03
64             increasesalkylation  1.556484e-03
65               decreasesactivity  1.408760e-03
66              decreasessulfation  1.233639e-03
67      affectsresponsetosubstance  1.050978e-03
68              increasestransport  1.028582e-03
69              decreasesoxidation  9.666635e-04
70              increasesstability  8.069602e-04
71              decreasesstability  7.718245e-04
72              decreasesabundance  7.185247e-04
73                affectsoxidation  6.710328e-04
74              increasesacylation  5.148037e-04
75         increasespalmitoylation  5.039508e-04
76             affectslocalization  5.033929e-04
77                decreasesfolding  4.559301e-04
78            affectsglycosylation  4.359295e-04
79          decreasesglycosylation  3.535050e-04
80            increasesmutagenesis  2.739807e-04
81              increasesamination  2.041862e-04
82                 decreasesimport  1.619923e-04
83                affectsstability  1.361785e-04
84           affectspolymerization  1.144431e-04
85        affectschemicalsynthesis  1.081256e-04
86           affectsubiquitination  1.075457e-04
87          decreasesfarnesylation  1.043758e-04
88                   affectsimport  8.182556e-05
89              increasesglycation  7.439189e-05
90            decreasesdegradation  6.526835e-05
91         increasescarbamoylation  6.491658e-05
92               increasesreaction  5.983147e-05
93              increasesoxidation  5.772790e-05
94              affectsmethylation  4.253983e-05
95              affectsmutagenesis  3.376056e-05
96                 affectscleavage  3.339042e-05
97            decreasesnitrosation  2.832507e-05
98           decreaseslocalization  2.187965e-05
99    decreasesresponsetosubstance  1.713232e-05
100         increasesfarnesylation  1.699952e-05
101           increasessumoylation  1.252407e-05
102   increasesmetabolicprocessing  1.226691e-05
103     decreasesglutathionylation  7.654213e-06
104             decreasesglycation  6.806323e-06
105            increaseshydrolysis  6.620380e-06
106         affectsglucuronidation  5.116251e-06
107       decreasesglucuronidation  4.256741e-06
108              affectshydrolysis  3.749222e-06
109             increasessulfation  2.390964e-06
110     increaseschemicalsynthesis  2.255453e-06
111                affectssplicing  1.911498e-06
112            increaseslipidation  1.908545e-06
113         increaseshydroxylation  1.356669e-06
114                 affectsfolding  1.278024e-06
115               affectsabundance  1.260149e-06
116             decreasesamination  1.063102e-06
117           decreasesmethylation  9.003411e-07
118                decreasesuptake  8.597812e-07
119               affectssulfation  8.208472e-07
120            decreasesethylation  6.904796e-07
121           affectshydroxylation  5.478802e-07
122             decreasessecretion  2.740965e-07
123                increasesexport  2.026425e-07
124         decreaseshydroxylation  7.903308e-08
125     affectsmetabolicprocessing  7.591323e-08
126              increasessplicing  6.183708e-08
127                increasesimport  6.144065e-08
128                 affectsbinding  5.591760e-08
129             affectsacetylation  5.422697e-08
130           increasesmethylation  3.403666e-08
131               affectstransport  2.818764e-08
132                affectsactivity  1.006608e-08
133       increasesglucuronidation  5.193920e-09
134                  affectsuptake  4.901193e-09
135            decreasesalkylation  4.363412e-09
136                  affectsexport  7.049091e-10
137             increasesreduction  3.328345e-10
138                affectsreaction  2.559789e-10
==================================================
