==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0           decreasesgeranoylation     0.999916
1                 increasesfolding     0.999847
2             affectsglycosylation     0.999806
3              increasesalkylation     0.999784
4                  affectsactivity     0.999735
5         decreasesglucuronidation     0.999718
6               decreasessulfation     0.999622
7                  decreasesexport     0.999583
8               affectsmutagenesis     0.999491
9                 affectsstability     0.999469
10            increasesnitrosation     0.999444
11          decreasesfarnesylation     0.999314
12         increasesubiquitination     0.999261
13                affectsabundance     0.999242
14               decreasessplicing     0.999093
15            decreasesprenylation     0.999030
16                 affectscleavage     0.998663
17             decreaseshydrolysis     0.998531
18          increasesfarnesylation     0.997675
19         increasespalmitoylation     0.997484
20              decreasesreduction     0.997457
21          decreasesglycosylation     0.997273
22               affectslipidation     0.997043
23              decreasesoxidation     0.996933
24            increasesprenylation     0.996853
25               increasessplicing     0.996524
26              affectsdegradation     0.996239
27      increasesglutathionylation     0.996001
28      decreasesglutathionylation     0.995952
29   decreasesnlinkedglycosylation     0.995611
30          increasescarboxylation     0.995438
31              increasesacylation     0.995212
32           decreaseslocalization     0.995042
33              increasesabundance     0.994822
34              increasesamination     0.993751
35             affectslocalization     0.992018
36          decreasescarboxylation     0.991865
37              affectscotreatment     0.991851
38            decreasesacetylation     0.991851
39         decreasesubiquitination     0.991599
40               decreasescleavage     0.989505
41            affectscarboxylation     0.989039
42              decreasesstability     0.987487
43            decreasesmutagenesis     0.987476
44         increasescarbamoylation     0.987371
45                   affectsimport     0.986981
46            affectsfarnesylation     0.986233
47               decreasesreaction     0.984988
48             increasesexpression     0.984844
49               increasesactivity     0.984698
50          affectsglucuronidation     0.983613
51           affectsubiquitination     0.982562
52    decreasesmetabolicprocessing     0.982536
53            decreasesdegradation     0.982057
54        affectschemicalsynthesis     0.980033
55           affectspolymerization     0.979518
56                  affectsbinding     0.979459
57              decreasesamination     0.978688
58               affectsalkylation     0.978510
59                 decreasesimport     0.976720
60      affectsresponsetosubstance     0.973809
61               decreasesactivity     0.970564
62              decreasesglycation     0.968146
63              decreasesabundance     0.965725
64            decreasesnitrosation     0.964813
65            decreasesmethylation     0.963688
66              increasesstability     0.962224
67            increasesacetylation     0.958115
68                 affectsreaction     0.956147
69           increaseslocalization     0.953360
70                affectsoxidation     0.948730
71                decreasesfolding     0.943511
72                  affectsfolding     0.938933
73          decreaseshydroxylation     0.937739
74    increasesresponsetosubstance     0.937106
75            increasesdegradation     0.927002
76             decreasesexpression     0.926633
77   increasesolinkedglycosylation     0.920774
78          increasesglycosylation     0.916892
79              affectsmethylation     0.915876
80     affectsnlinkedglycosylation     0.915873
81              increasesglycation     0.909173
82        affectsglutathionylation     0.903586
83                 increasesimport     0.892909
84              decreasestransport     0.890690
85             decreasesethylation     0.879319
86           increasesribosylation     0.875100
87               affectsexpression     0.854599
88      decreaseschemicalsynthesis     0.849258
89            increasesmethylation     0.844784
90                affectstransport     0.835889
91              increasestransport     0.833972
92   increasesnlinkedglycosylation     0.826022
93             decreaseslipidation     0.799027
94      increaseschemicalsynthesis     0.795456
95         decreasespalmitoylation     0.778497
96        decreasesadpribosylation     0.766840
97    decreasesresponsetosubstance     0.753231
98         decreasesmyristoylation     0.751775
99               increasesreaction     0.739869
100  decreasesolinkedglycosylation     0.728837
101               affectsacylation     0.717776
102       increasesphosphorylation     0.705445
103                increasesexport     0.692975
104         affectsphosphorylation     0.667504
105             affectsacetylation     0.588050
106            increaseshydrolysis     0.580098
107        decreasespolymerization     0.555655
108             increasessecretion     0.553850
109           increasesmutagenesis     0.540001
110             decreasesacylation     0.538388
111             decreasessecretion     0.528595
112              increasescleavage     0.512297
113              affectshydrolysis     0.469975
114               affectsglycation     0.464738
115                increasesuptake     0.462424
116        decreasescarbamoylation     0.396714
117           decreasessumoylation     0.369877
118                affectssplicing     0.357433
119               affectsreduction     0.302201
120                decreasesuptake     0.293890
121         increaseshydroxylation     0.196857
122                  affectsexport     0.165787
123                  affectsuptake     0.161379
124     affectsmetabolicprocessing     0.159505
125               affectssulfation     0.158644
126   increasesmetabolicprocessing     0.145589
127             increasesreduction     0.086520
128             affectssumoylation     0.079054
129            increaseslipidation     0.071446
130           increasessumoylation     0.060986
131               affectssecretion     0.044771
132             increasesoxidation     0.025157
133           affectshydroxylation     0.017963
134       decreasesphosphorylation     0.008409
135             increasessulfation     0.006454
136       increasesadpribosylation     0.003973
137            decreasesalkylation     0.000179
138       increasesglucuronidation     0.000139
==================================================
