==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type   Probability
0           decreasesglycosylation  9.999998e-01
1             affectsglycosylation  9.999996e-01
2               decreasesreduction  9.999985e-01
3               affectsmutagenesis  9.999701e-01
4    decreasesnlinkedglycosylation  9.999417e-01
5               increasesacylation  9.998877e-01
6               decreasesoxidation  9.998665e-01
7                  decreasesexport  9.998515e-01
8            affectsubiquitination  9.998122e-01
9                    affectsimport  9.997252e-01
10          increasesfarnesylation  9.997081e-01
11         increasespalmitoylation  9.996823e-01
12                 affectscleavage  9.995529e-01
13            increasesprenylation  9.994741e-01
14                affectsstability  9.994286e-01
15              decreasestransport  9.993918e-01
16              affectsdegradation  9.993856e-01
17         increasesubiquitination  9.993702e-01
18         increasescarbamoylation  9.993690e-01
19                 decreasesuptake  9.991616e-01
20      affectsmetabolicprocessing  9.990350e-01
21        affectschemicalsynthesis  9.989817e-01
22               increasesactivity  9.984799e-01
23            affectscarboxylation  9.982906e-01
24             increasesalkylation  9.977807e-01
25              increasesabundance  9.974382e-01
26              decreasesabundance  9.962075e-01
27         decreasesubiquitination  9.960651e-01
28          decreasesgeranoylation  9.959404e-01
29                 increasesuptake  9.958729e-01
30                 increasesexport  9.958012e-01
31                increasesfolding  9.955635e-01
32                affectsoxidation  9.951571e-01
33               decreasessplicing  9.949018e-01
34      decreasesglutathionylation  9.941422e-01
35              affectsacetylation  9.940655e-01
36   increasesnlinkedglycosylation  9.926649e-01
37              decreasesstability  9.922928e-01
38                decreasesfolding  9.907221e-01
39            increasesdegradation  9.906036e-01
40              increasesstability  9.901736e-01
41          affectsglucuronidation  9.901305e-01
42                affectsabundance  9.899840e-01
43            decreasesdegradation  9.897250e-01
44                  affectsfolding  9.887997e-01
45          increaseshydroxylation  9.879066e-01
46      decreaseschemicalsynthesis  9.876846e-01
47                   affectsuptake  9.859734e-01
48               affectshydrolysis  9.833629e-01
49               increasescleavage  9.830210e-01
50               affectsalkylation  9.820004e-01
51           decreaseslocalization  9.756597e-01
52             affectslocalization  9.727518e-01
53            increasesnitrosation  9.679634e-01
54              affectscotreatment  9.666373e-01
55            increasesacetylation  9.638664e-01
56     affectsnlinkedglycosylation  9.635049e-01
57    increasesmetabolicprocessing  9.626321e-01
58                 affectsreaction  9.617313e-01
59          decreasesfarnesylation  9.603380e-01
60                 increasesimport  9.602913e-01
61               decreasesactivity  9.600075e-01
62             decreaseshydrolysis  9.542953e-01
63              increasesamination  9.532742e-01
64             decreaseslipidation  9.386432e-01
65                affectsacylation  9.361592e-01
66              affectssumoylation  9.344717e-01
67                 decreasesimport  9.331347e-01
68            decreasesprenylation  9.328763e-01
69             increaseshydrolysis  9.250094e-01
70          increasescarboxylation  9.205499e-01
71              increasesglycation  9.145754e-01
72              increasesreduction  9.129536e-01
73              decreasesglycation  9.085367e-01
74             decreasesethylation  9.073981e-01
75        affectsglutathionylation  8.990384e-01
76            affectsfarnesylation  8.978950e-01
77          decreaseshydroxylation  8.935944e-01
78      increaseschemicalsynthesis  8.913767e-01
79                 affectsactivity  8.840263e-01
80        increasesadpribosylation  8.835198e-01
81               decreasescleavage  8.795002e-01
82              decreasessulfation  8.740945e-01
83                affectstransport  8.625036e-01
84         decreasespalmitoylation  8.571237e-01
85              affectsmethylation  8.458946e-01
86          increasesglycosylation  8.427402e-01
87           affectspolymerization  8.393007e-01
88         decreasespolymerization  8.331795e-01
89        decreasesglucuronidation  8.315374e-01
90               increasessplicing  8.008186e-01
91          decreasescarboxylation  7.831036e-01
92   decreasesolinkedglycosylation  7.562777e-01
93               increasesreaction  7.505443e-01
94             increaseslipidation  7.497640e-01
95              increasesoxidation  7.440035e-01
96                   affectsexport  7.218019e-01
97      increasesglutathionylation  7.047235e-01
98   increasesolinkedglycosylation  6.642866e-01
99        decreasesadpribosylation  6.113076e-01
100           decreasesacetylation  5.961868e-01
101   decreasesmetabolicprocessing  5.925682e-01
102           decreasesmethylation  5.789479e-01
103           decreasesnitrosation  5.628734e-01
104             decreasesacylation  5.459190e-01
105        decreasescarbamoylation  5.172244e-01
106               affectsreduction  4.832741e-01
107           decreasesmutagenesis  4.501856e-01
108               affectssulfation  4.414067e-01
109             increasessecretion  4.390266e-01
110               affectsglycation  4.199391e-01
111          increasesribosylation  3.794838e-01
112             increasestransport  3.781121e-01
113               affectssecretion  3.769777e-01
114                affectssplicing  3.331558e-01
115        decreasesmyristoylation  3.152658e-01
116           decreasessumoylation  3.078566e-01
117          increaseslocalization  2.701004e-01
118              affectslipidation  2.436320e-01
119             decreasessecretion  1.263320e-01
120       increasesglucuronidation  9.460738e-02
121              decreasesreaction  8.235652e-02
122            decreasesalkylation  7.754438e-02
123   increasesresponsetosubstance  7.579118e-02
124             decreasesamination  7.332870e-02
125           increasesmutagenesis  6.351236e-02
126         affectsphosphorylation  4.340727e-02
127           increasessumoylation  3.139779e-02
128           affectshydroxylation  2.760064e-02
129     affectsresponsetosubstance  2.555897e-02
130             increasessulfation  2.473092e-02
131              affectsexpression  1.494063e-03
132       increasesphosphorylation  1.027391e-03
133           increasesmethylation  3.670174e-04
134                 affectsbinding  2.274911e-04
135            increasesexpression  1.140419e-04
136       decreasesphosphorylation  4.605935e-05
137   decreasesresponsetosubstance  6.180925e-07
138            decreasesexpression  3.341654e-09
==================================================
