==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0              decreaseshydrolysis     0.999952
1                  decreasesimport     0.999907
2            affectspolymerization     0.999893
3             affectsglycosylation     0.999867
4           decreasesfarnesylation     0.999821
5              increasesalkylation     0.999815
6          increasespalmitoylation     0.999796
7               decreasessulfation     0.999784
8                  decreasesexport     0.999629
9                 increasesfolding     0.999619
10        decreasesglucuronidation     0.999606
11              increasesamination     0.999583
12          increasesfarnesylation     0.999582
13              affectsmutagenesis     0.999569
14   decreasesnlinkedglycosylation     0.999483
15          decreasesglycosylation     0.999445
16           increaseslocalization     0.999304
17                   affectsimport     0.999274
18                decreasesfolding     0.999159
19          decreasescarboxylation     0.999146
20          increasescarboxylation     0.998994
21            decreasesprenylation     0.998966
22                 affectscleavage     0.998697
23                 decreasesuptake     0.998675
24              increasesglycation     0.998647
25      decreasesglutathionylation     0.998542
26              affectsdegradation     0.998441
27                 affectsactivity     0.998331
28            affectscarboxylation     0.998119
29              decreasesstability     0.997986
30              decreasestransport     0.997966
31                affectsstability     0.997964
32              decreasesabundance     0.997642
33              decreasesamination     0.997565
34         decreasesubiquitination     0.997178
35            decreasesdegradation     0.997176
36              decreasesglycation     0.996523
37               affectshydrolysis     0.996358
38               affectslipidation     0.995919
39              increasesstability     0.995875
40    decreasesmetabolicprocessing     0.995521
41         increasescarbamoylation     0.995199
42            increasesprenylation     0.994893
43            increasesacetylation     0.994620
44            decreasesnitrosation     0.994210
45              decreasesoxidation     0.993758
46            increasesnitrosation     0.993709
47               decreasessplicing     0.991154
48            decreasesacetylation     0.990494
49            affectsfarnesylation     0.989644
50             affectslocalization     0.988269
51               decreasesreaction     0.987057
52      decreaseschemicalsynthesis     0.986192
53              affectsacetylation     0.985433
54            decreasesmutagenesis     0.985180
55               increasessplicing     0.983767
56               increasesreaction     0.983564
57          decreasesgeranoylation     0.983284
58               decreasescleavage     0.981935
59               affectsalkylation     0.981058
60                affectsabundance     0.980897
61               increasesactivity     0.980437
62                 affectsreaction     0.980014
63           affectsubiquitination     0.978661
64   increasesolinkedglycosylation     0.978533
65         decreasespolymerization     0.975528
66             decreaseslipidation     0.974642
67      increasesglutathionylation     0.974470
68              increasesabundance     0.974259
69        affectschemicalsynthesis     0.974074
70                affectsoxidation     0.970760
71    increasesresponsetosubstance     0.970345
72               decreasesactivity     0.965994
73                 increasesexport     0.963391
74              increasesacylation     0.961136
75             decreasesexpression     0.960971
76           increasesribosylation     0.960818
77                   affectsuptake     0.958351
78        affectsglutathionylation     0.956726
79               affectsexpression     0.954748
80              decreasesreduction     0.952793
81              increasessecretion     0.950555
82     affectsnlinkedglycosylation     0.948132
83              increasestransport     0.947027
84          affectsglucuronidation     0.946281
85      affectsresponsetosubstance     0.945537
86             increasesexpression     0.944249
87                  affectsbinding     0.936746
88    decreasesresponsetosubstance     0.936486
89            increasesdegradation     0.931522
90              affectscotreatment     0.930447
91           decreaseslocalization     0.925808
92         increasesubiquitination     0.919241
93              decreasessecretion     0.918853
94               increasescleavage     0.918194
95            decreasesmethylation     0.910657
96                affectssecretion     0.899484
97                 increasesimport     0.885146
98              increasesoxidation     0.884334
99            increasesmethylation     0.877421
100                  affectsexport     0.875398
101       increasesphosphorylation     0.867863
102                 affectsfolding     0.862613
103             affectsmethylation     0.822763
104     increaseschemicalsynthesis     0.809322
105     affectsmetabolicprocessing     0.806122
106  increasesnlinkedglycosylation     0.787300
107               affectsreduction     0.777873
108        decreasespalmitoylation     0.764409
109             increasesreduction     0.759151
110               affectstransport     0.755339
111               affectsacylation     0.716454
112       decreasesadpribosylation     0.705771
113             affectssumoylation     0.652837
114                affectssplicing     0.614882
115                increasesuptake     0.602340
116   increasesmetabolicprocessing     0.588995
117         decreaseshydroxylation     0.575723
118         increasesglycosylation     0.538482
119        decreasesmyristoylation     0.431919
120  decreasesolinkedglycosylation     0.413318
121               affectsglycation     0.409536
122            increaseshydrolysis     0.392812
123           increasesmutagenesis     0.388086
124        decreasescarbamoylation     0.382156
125       increasesadpribosylation     0.375060
126             decreasesacylation     0.362831
127         increaseshydroxylation     0.360483
128            increaseslipidation     0.265124
129           increasessumoylation     0.199813
130           decreasessumoylation     0.173626
131               affectssulfation     0.153477
132            decreasesethylation     0.150302
133         affectsphosphorylation     0.146392
134           affectshydroxylation     0.071499
135       decreasesphosphorylation     0.043851
136             increasessulfation     0.000775
137            decreasesalkylation     0.000335
138       increasesglucuronidation     0.000009
==================================================
