==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0               decreasessulfation     1.000000
1             decreasesacetylation     0.999999
2         decreasesglucuronidation     0.999998
3             decreasesprenylation     0.999997
4           decreasesglycosylation     0.999997
5                 affectsstability     0.999986
6    decreasesnlinkedglycosylation     0.999985
7           decreasesfarnesylation     0.999981
8               decreasesoxidation     0.999972
9               increasesamination     0.999969
10             decreaseshydrolysis     0.999964
11               increasessplicing     0.999962
12              decreasesreduction     0.999951
13              affectsmutagenesis     0.999950
14              affectsdegradation     0.999946
15           affectspolymerization     0.999931
16         increasesubiquitination     0.999926
17                 decreasesimport     0.999918
18            decreasesmutagenesis     0.999883
19      decreaseschemicalsynthesis     0.999869
20          increasescarboxylation     0.999856
21            affectsglycosylation     0.999831
22                affectsoxidation     0.999815
23          affectsphosphorylation     0.999795
24               decreasessplicing     0.999783
25          affectsglucuronidation     0.999783
26             decreasesethylation     0.999617
27               affectslipidation     0.999554
28          increasesglycosylation     0.999526
29            decreasesdegradation     0.999498
30      increasesglutathionylation     0.999467
31   increasesolinkedglycosylation     0.999467
32                affectsreduction     0.999461
33                 decreasesexport     0.999402
34                increasesfolding     0.999354
35          increasesfarnesylation     0.999336
36               increasescleavage     0.999304
37              increasesstability     0.999239
38            increasesnitrosation     0.999223
39                decreasesfolding     0.999070
40      decreasesglutathionylation     0.999008
41              affectscotreatment     0.998950
42            affectscarboxylation     0.998645
43            increasesprenylation     0.998617
44             decreaseslipidation     0.998504
45         increasescarbamoylation     0.998072
46             decreasesexpression     0.997945
47            increasesdegradation     0.997636
48     affectsnlinkedglycosylation     0.997614
49                affectsabundance     0.997567
50            affectsfarnesylation     0.996586
51                 affectsactivity     0.996250
52                  affectsbinding     0.996107
53               affectsexpression     0.995798
54             increasesalkylation     0.995708
55              decreasesabundance     0.995280
56            increasesacetylation     0.994958
57          decreasescarboxylation     0.994597
58                 affectscleavage     0.994091
59         decreasesubiquitination     0.994048
60               increasesactivity     0.992909
61                   affectsimport     0.992635
62           affectsubiquitination     0.992532
63    increasesresponsetosubstance     0.991458
64              increasesacylation     0.991211
65                 affectsreaction     0.990791
66          increaseshydroxylation     0.990270
67              decreasesamination     0.990254
68               decreasesreaction     0.990084
69          decreasesgeranoylation     0.989491
70         increasespalmitoylation     0.989221
71              increasesoxidation     0.989195
72      affectsmetabolicprocessing     0.988886
73               affectshydrolysis     0.988255
74              decreasestransport     0.986766
75              decreasesstability     0.986614
76               affectsalkylation     0.986419
77                  affectsfolding     0.985559
78            decreasesmethylation     0.984174
79      affectsresponsetosubstance     0.983013
80              affectsacetylation     0.982831
81           increaseslocalization     0.981360
82      increaseschemicalsynthesis     0.981076
83             affectslocalization     0.979292
84        affectsglutathionylation     0.978861
85             increasesexpression     0.978596
86                 decreasesuptake     0.973615
87         decreasespolymerization     0.973182
88        affectschemicalsynthesis     0.972156
89    decreasesresponsetosubstance     0.969118
90               decreasesactivity     0.966415
91            increasesmutagenesis     0.965641
92               decreasescleavage     0.965051
93              increasesabundance     0.956696
94            decreasesnitrosation     0.955176
95              increasesglycation     0.954998
96                affectssecretion     0.952644
97        decreasesadpribosylation     0.951966
98              decreasesglycation     0.950560
99         decreasespalmitoylation     0.950090
100       increasesphosphorylation     0.941194
101                increasesexport     0.939435
102               affectsacylation     0.937340
103       decreasesphosphorylation     0.935992
104             increasesreduction     0.920066
105           increasessumoylation     0.915885
106             affectssumoylation     0.912954
107          increasesribosylation     0.910634
108          decreaseslocalization     0.910039
109           decreasessumoylation     0.906634
110            increaseslipidation     0.902587
111  increasesnlinkedglycosylation     0.894239
112             affectsmethylation     0.894177
113       increasesadpribosylation     0.876025
114               affectstransport     0.875360
115           increasesmethylation     0.864027
116            increaseshydrolysis     0.862718
117                  affectsexport     0.856967
118               affectssulfation     0.848715
119         decreaseshydroxylation     0.842845
120                increasesuptake     0.809775
121  decreasesolinkedglycosylation     0.804759
122           affectshydroxylation     0.803120
123   increasesmetabolicprocessing     0.780134
124                affectssplicing     0.770836
125   decreasesmetabolicprocessing     0.715453
126        decreasesmyristoylation     0.608858
127                increasesimport     0.564881
128             increasestransport     0.561076
129               affectsglycation     0.544877
130              increasesreaction     0.482996
131             decreasesacylation     0.465316
132        decreasescarbamoylation     0.334276
133            decreasesalkylation     0.238597
134                  affectsuptake     0.147651
135             decreasessecretion     0.116166
136             increasessulfation     0.006154
137       increasesglucuronidation     0.001866
138             increasessecretion     0.001124
==================================================
