==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0           decreasesfarnesylation     1.000000
1         decreasesglucuronidation     0.999999
2               affectsmutagenesis     0.999999
3           increasesglycosylation     0.999999
4       decreasesglutathionylation     0.999997
5                 increasesfolding     0.999996
6           affectsglucuronidation     0.999994
7           decreasesgeranoylation     0.999992
8            affectsubiquitination     0.999991
9              decreaseshydrolysis     0.999985
10                affectsstability     0.999981
11             increasesalkylation     0.999977
12            decreasesprenylation     0.999967
13                 decreasesexport     0.999961
14         increasesubiquitination     0.999949
15           affectspolymerization     0.999945
16         decreasesubiquitination     0.999945
17          decreasesglycosylation     0.999936
18              decreasessulfation     0.999935
19              affectsdegradation     0.999924
20   decreasesnlinkedglycosylation     0.999852
21               increasessplicing     0.999844
22                affectsabundance     0.999843
23          increasesfarnesylation     0.999827
24          increasescarboxylation     0.999824
25    decreasesmetabolicprocessing     0.999818
26              increasesamination     0.999791
27         increasespalmitoylation     0.999576
28            decreasesacetylation     0.999534
29               decreasessplicing     0.999517
30            affectsglycosylation     0.999396
31              decreasesoxidation     0.999388
32            affectscarboxylation     0.999223
33          decreasescarboxylation     0.999072
34            decreasesdegradation     0.999031
35           decreaseslocalization     0.998985
36               affectslipidation     0.998976
37                 affectscleavage     0.998856
38   increasesolinkedglycosylation     0.998767
39            affectsfarnesylation     0.998285
40             increasesexpression     0.998262
41                 affectsreaction     0.998045
42              increasesglycation     0.997944
43            increasesprenylation     0.997938
44                affectsoxidation     0.997869
45                  affectsbinding     0.997795
46               increasescleavage     0.997643
47            decreasesnitrosation     0.997453
48               affectshydrolysis     0.997396
49          decreaseshydroxylation     0.997394
50      affectsmetabolicprocessing     0.997234
51              increasesstability     0.996773
52            affectshydroxylation     0.996689
53               decreasesactivity     0.996685
54        affectschemicalsynthesis     0.996659
55              decreasesreduction     0.996551
56           increaseslocalization     0.996280
57              decreasesstability     0.996197
58                 affectsactivity     0.995736
59      decreaseschemicalsynthesis     0.995360
60              decreasestransport     0.994587
61              affectscotreatment     0.994477
62            increasesnitrosation     0.994270
63               affectsalkylation     0.994229
64                 decreasesimport     0.994170
65               increasesactivity     0.994080
66              decreasesglycation     0.993701
67                   affectsimport     0.993426
68              increasesabundance     0.993200
69         increasescarbamoylation     0.993051
70               decreasesreaction     0.992602
71             affectslocalization     0.992515
72                  affectsfolding     0.992355
73        decreasesadpribosylation     0.992342
74            decreasesmutagenesis     0.992245
75              decreasesamination     0.991678
76              increasesacylation     0.991363
77          affectsphosphorylation     0.990986
78      affectsresponsetosubstance     0.990292
79            increasesacetylation     0.989298
80      increasesglutathionylation     0.989078
81               decreasescleavage     0.989014
82              decreasesabundance     0.988707
83              increasesreduction     0.988489
84             decreasesexpression     0.987778
85      increaseschemicalsynthesis     0.987038
86                 decreasesuptake     0.985870
87              increasesoxidation     0.982360
88             decreaseslipidation     0.980686
89            decreasesmethylation     0.979174
90            increasesmutagenesis     0.975011
91                decreasesfolding     0.970133
92     affectsnlinkedglycosylation     0.966403
93                affectsacylation     0.963582
94              affectsmethylation     0.962462
95            decreasessumoylation     0.953614
96        increasesphosphorylation     0.952682
97        affectsglutathionylation     0.950485
98             increaseshydrolysis     0.949405
99    increasesmetabolicprocessing     0.926670
100           increasesdegradation     0.923882
101  increasesnlinkedglycosylation     0.907848
102                affectssplicing     0.902319
103   increasesresponsetosubstance     0.895802
104             affectssumoylation     0.893316
105              affectsexpression     0.887843
106          increasesribosylation     0.876978
107                  affectsuptake     0.875416
108           increasessumoylation     0.867879
109               affectsreduction     0.866233
110        decreasespalmitoylation     0.863593
111   decreasesresponsetosubstance     0.858192
112            decreasesethylation     0.856464
113           increasesmethylation     0.846361
114        decreasespolymerization     0.805719
115               affectssulfation     0.805536
116             affectsacetylation     0.798352
117         increaseshydroxylation     0.795210
118            increaseslipidation     0.788200
119       decreasesphosphorylation     0.779497
120                  affectsexport     0.733574
121              increasesreaction     0.732966
122               affectstransport     0.732818
123                increasesuptake     0.695320
124                increasesexport     0.668660
125                increasesimport     0.659448
126  decreasesolinkedglycosylation     0.500273
127               affectsglycation     0.488421
128        decreasesmyristoylation     0.447330
129       increasesadpribosylation     0.420107
130        decreasescarbamoylation     0.371069
131             decreasesacylation     0.367020
132             increasestransport     0.252657
133               affectssecretion     0.217773
134             decreasessecretion     0.063472
135            decreasesalkylation     0.016968
136             increasessulfation     0.011927
137       increasesglucuronidation     0.006010
138             increasessecretion     0.003467
==================================================
