==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0                 affectsstability     0.999992
1                 increasesfolding     0.999990
2           decreasesfarnesylation     0.999976
3                decreasessplicing     0.999971
4             affectsglycosylation     0.999966
5              increasesalkylation     0.999964
6               affectsmutagenesis     0.999963
7           increasescarboxylation     0.999961
8                  decreasesexport     0.999961
9              decreaseshydrolysis     0.999959
10                 affectscleavage     0.999953
11           affectspolymerization     0.999934
12              decreasessulfation     0.999927
13           affectsubiquitination     0.999920
14          increasesglycosylation     0.999886
15          affectsphosphorylation     0.999831
16            decreasesprenylation     0.999829
17        decreasesglucuronidation     0.999822
18                decreasesfolding     0.999808
19              affectsdegradation     0.999759
20              decreasesstability     0.999758
21             decreaseslipidation     0.999729
22         decreasesubiquitination     0.999695
23          affectsglucuronidation     0.999674
24            increasesnitrosation     0.999424
25            decreasesacetylation     0.999395
26                  affectsfolding     0.999268
27               affectslipidation     0.999238
28          decreaseshydroxylation     0.999082
29            increasesdegradation     0.998916
30                 affectsactivity     0.998852
31          decreasesgeranoylation     0.998785
32                affectsabundance     0.997878
33      increaseschemicalsynthesis     0.997559
34   decreasesnlinkedglycosylation     0.997553
35             affectslocalization     0.997549
36               increasessplicing     0.997506
37   increasesolinkedglycosylation     0.997293
38            decreasesdegradation     0.997269
39            affectscarboxylation     0.997234
40          increasesfarnesylation     0.997172
41      decreasesglutathionylation     0.997030
42     affectsnlinkedglycosylation     0.996845
43         increasescarbamoylation     0.996829
44      decreaseschemicalsynthesis     0.996359
45         increasesubiquitination     0.996337
46                   affectsimport     0.996181
47              increasesstability     0.995992
48          decreasescarboxylation     0.995939
49               increasesactivity     0.995674
50         increasespalmitoylation     0.995121
51                 decreasesimport     0.994386
52            decreasesmutagenesis     0.994175
53              increasesamination     0.993247
54          decreasesglycosylation     0.992010
55              affectscotreatment     0.991920
56              increasesacylation     0.991861
57            affectshydroxylation     0.991842
58        affectschemicalsynthesis     0.991842
59            increasesacetylation     0.991521
60               affectsalkylation     0.990675
61              decreasesoxidation     0.990583
62               decreasesreaction     0.989634
63                 affectsreaction     0.989413
64            increasesprenylation     0.989030
65            decreasesnitrosation     0.988922
66              increasesglycation     0.988572
67      affectsresponsetosubstance     0.987890
68           increaseslocalization     0.987120
69                affectsreduction     0.985116
70                  affectsbinding     0.985063
71    increasesresponsetosubstance     0.985060
72            increasesmutagenesis     0.984148
73               affectsexpression     0.982070
74               decreasesactivity     0.981899
75              decreasesabundance     0.981379
76               decreasescleavage     0.980850
77               increasescleavage     0.980809
78           decreaseslocalization     0.980688
79        affectsglutathionylation     0.979816
80              increasesabundance     0.979676
81            affectsfarnesylation     0.978087
82              increasessecretion     0.975286
83    decreasesresponsetosubstance     0.972780
84              affectsacetylation     0.972679
85                affectsoxidation     0.971841
86        decreasesadpribosylation     0.968064
87      increasesglutathionylation     0.963401
88         decreasespolymerization     0.962916
89                 decreasesuptake     0.958699
90         decreasespalmitoylation     0.958348
91        decreasesphosphorylation     0.956805
92              decreasesglycation     0.947819
93              decreasesreduction     0.941521
94    decreasesmetabolicprocessing     0.937085
95           increasesribosylation     0.935363
96      affectsmetabolicprocessing     0.933987
97          increaseshydroxylation     0.931523
98                 increasesexport     0.927607
99        increasesphosphorylation     0.926550
100           decreasesmethylation     0.914099
101             increasesoxidation     0.907754
102            increasesexpression     0.901310
103             decreasesamination     0.895548
104            decreasesexpression     0.892793
105                affectssplicing     0.885939
106                  affectsexport     0.883815
107             affectsmethylation     0.872216
108                increasesimport     0.864131
109                increasesuptake     0.839395
110           decreasessumoylation     0.832859
111             affectssumoylation     0.828781
112              increasesreaction     0.828177
113             decreasessecretion     0.827633
114   increasesmetabolicprocessing     0.780931
115  increasesnlinkedglycosylation     0.758670
116  decreasesolinkedglycosylation     0.710409
117             increasesreduction     0.706329
118            increaseshydrolysis     0.674699
119             decreasesacylation     0.644900
120       increasesadpribosylation     0.632094
121               affectsacylation     0.604983
122           increasessumoylation     0.590642
123        decreasesmyristoylation     0.544085
124            decreasesethylation     0.527942
125               affectsglycation     0.488608
126            increaseslipidation     0.420499
127              affectshydrolysis     0.420260
128               affectssulfation     0.401015
129               affectstransport     0.397842
130                  affectsuptake     0.374629
131               affectssecretion     0.336040
132             increasestransport     0.334617
133        decreasescarbamoylation     0.297648
134             decreasestransport     0.207371
135           increasesmethylation     0.032620
136             increasessulfation     0.016642
137            decreasesalkylation     0.015754
138       increasesglucuronidation     0.004054
==================================================
