==================================================
           PREDICTION RESULTS
==================================================
                     Relation_Type  Probability
0         decreasesglucuronidation     0.999952
1             decreasesprenylation     0.999901
2             affectsglycosylation     0.999867
3                decreasessplicing     0.999841
4           increasesfarnesylation     0.999826
5                  decreasesexport     0.999777
6          decreasesubiquitination     0.999775
7                 increasesfolding     0.999739
8           decreasesglycosylation     0.999704
9               affectsmutagenesis     0.999585
10          affectsglucuronidation     0.999498
11              decreasesreduction     0.999488
12          increasesglycosylation     0.999470
13             increasesalkylation     0.999435
14         increasespalmitoylation     0.999381
15          decreasesgeranoylation     0.999122
16             decreaseshydrolysis     0.999093
17                affectsreduction     0.998686
18                   affectsimport     0.998516
19      increasesglutathionylation     0.998407
20    decreasesmetabolicprocessing     0.998290
21          increasescarboxylation     0.998289
22                affectsabundance     0.997956
23              increasesstability     0.997607
24            increasesprenylation     0.997084
25               increasescleavage     0.997045
26              decreasesoxidation     0.997019
27   increasesolinkedglycosylation     0.996649
28   decreasesnlinkedglycosylation     0.996510
29               affectsexpression     0.995251
30         increasescarbamoylation     0.994866
31              affectsdegradation     0.994832
32            affectsfarnesylation     0.994707
33              affectscotreatment     0.994400
34      decreaseschemicalsynthesis     0.994081
35              increasesamination     0.993927
36      affectsresponsetosubstance     0.993884
37              decreasesabundance     0.993559
38           affectspolymerization     0.993250
39               increasessplicing     0.992545
40            increasesacetylation     0.992321
41                affectsstability     0.991039
42              decreasesamination     0.990396
43          decreasesfarnesylation     0.990216
44              decreasesstability     0.989960
45            decreasesacetylation     0.988555
46            increasesnitrosation     0.987923
47         increasesubiquitination     0.987350
48                 decreasesimport     0.986917
49               decreasesreaction     0.986647
50             decreasesexpression     0.985780
51            decreasesdegradation     0.985001
52                affectsoxidation     0.984165
53           increaseslocalization     0.979513
54                  affectsbinding     0.978212
55                 affectsreaction     0.977140
56                 affectscleavage     0.976708
57              increasesabundance     0.975364
58                 decreasesuptake     0.971609
59             increasesexpression     0.971486
60              decreasessulfation     0.967224
61            decreasesmethylation     0.965223
62              affectsacetylation     0.964885
63           decreaseslocalization     0.959646
64               decreasesactivity     0.957742
65               affectslipidation     0.956793
66               affectshydrolysis     0.953882
67              increasesglycation     0.953227
68            increasesdegradation     0.952625
69             affectslocalization     0.948171
70                decreasesfolding     0.945667
71               decreasescleavage     0.944230
72          decreasescarboxylation     0.943970
73           affectsubiquitination     0.941694
74    increasesresponsetosubstance     0.941407
75    decreasesresponsetosubstance     0.941186
76            decreasesnitrosation     0.940486
77            affectscarboxylation     0.940333
78                 affectsactivity     0.939821
79         decreasespolymerization     0.934533
80               increasesactivity     0.929824
81     affectsnlinkedglycosylation     0.927202
82                  affectsfolding     0.918772
83      decreasesglutathionylation     0.918108
84              decreasessecretion     0.909503
85              affectsmethylation     0.890228
86             decreaseslipidation     0.869518
87           increasesribosylation     0.866063
88              increasesacylation     0.845769
89              decreasestransport     0.838161
90              increasesreduction     0.832926
91              decreasesglycation     0.828435
92              affectssumoylation     0.827451
93        affectschemicalsynthesis     0.827033
94            decreasesmutagenesis     0.825291
95               increasesreaction     0.799387
96        affectsglutathionylation     0.798034
97   increasesnlinkedglycosylation     0.788451
98        increasesphosphorylation     0.784078
99                   affectsuptake     0.722390
100             increasessecretion     0.712801
101       decreasesadpribosylation     0.701811
102             increasesoxidation     0.691470
103               affectssecretion     0.665579
104               affectsacylation     0.662311
105           increasessumoylation     0.609839
106  decreasesolinkedglycosylation     0.603875
107                increasesexport     0.581137
108             decreasesacylation     0.579118
109             increasestransport     0.574977
110        decreasespalmitoylation     0.539936
111            decreasesethylation     0.513866
112     increaseschemicalsynthesis     0.505746
113        decreasesmyristoylation     0.463770
114                increasesuptake     0.456811
115               affectssulfation     0.439337
116        decreasescarbamoylation     0.398952
117              affectsalkylation     0.386567
118               affectsglycation     0.357956
119     affectsmetabolicprocessing     0.355239
120           decreasessumoylation     0.329170
121                  affectsexport     0.308192
122               affectstransport     0.307437
123                increasesimport     0.289791
124       increasesadpribosylation     0.276396
125           increasesmethylation     0.253165
126           increasesmutagenesis     0.174619
127         decreaseshydroxylation     0.158337
128       decreasesphosphorylation     0.149829
129   increasesmetabolicprocessing     0.072005
130            increaseshydrolysis     0.062125
131           affectshydroxylation     0.061757
132         increaseshydroxylation     0.039994
133             increasessulfation     0.038039
134         affectsphosphorylation     0.020060
135                affectssplicing     0.019353
136            increaseslipidation     0.003809
137       increasesglucuronidation     0.001077
138            decreasesalkylation     0.000074
==================================================
